psalmtitle|Ps 102. Domine, exaudi orationem meam, et clamor meus ad te veniat|圣咏第102首|
dropcap|Bénedic, ánima mea, Dómino: et ómnia, quæ intra me sunt, nómini sancto ejus.|予靈讃美主，凢寓於予内者厥聖名。|
verse|Bénedic, ánima mea, Dómino: et noli oblivísci omnes retributiónes ejus.|予靈讃美主，凢寓於予内者厥聖名。|
verse|Qui propitiátur ómnibus iniquitátibus tuis: qui sanat omnes infirmitátes tuas.|予靈讃美主，勿忘諸恩。|
verse|Qui rédimit de intéritu vitam tuam: qui corónat te in misericórdia et miseratiónibus.|主息怒於爾諸罪者，痊諸疾病，免爾死亡。|
verse|Qui replet in bonis desidérium tuum: renovábitur ut áquilæ juvéntus tua: Fáciens misericórdias Dóminus: et judícium ómnibus injúriam patiéntibus.|以仁慈哀憐圍之，善好滿其覬覦，爾少齡如仁鳥將復新。|
verse|Notas fecit vias suas Móysi, fíliis Israël voluntátes suas.|主行仁恕，判諸被誣者。|
verse|Miserátor, et miséricors Dóminus: longánimis, et multum miséricors.|示厥道於梅瑟，厥意於義撒厄爾衆子。|
verse|Non in perpétuum irascétur: neque in ætérnum comminábitur.|示厥道於梅瑟，厥意於義撒厄爾衆子。|
verse|Non secúndum peccáta nostra fecit nobis: neque secúndum iniquitátes nostras retríbuit nobis.|主慈而憫之，惻然宥之，厥怒不終，非永驚懾，非依孽行，又非無義者見酬我等。|
verse|Quóniam secúndum altitúdinem cæli a terra: corroborávit misericórdiam suam super timéntes se.|盖如天高於地，固慈於畏伊者。|
verse|Quantum distat ortus ab occidénte: longe fecit a nobis iniquitátes nostras.|如東西相距逺，我等之孽如父之矜子。|
verse|Quómodo miserétur pater filiórum, misértus est Dóminus timéntibus se: quóniam ipse cognóvit figméntum nostrum.|主憐畏伊者，已知吾劣，已記吾乃灰塵。|
verse|Recordátus est quóniam pulvis sumus: homo, sicut fænum dies ejus, tamquam flos agri sic efflorébit.|人曰如芥草，如野花，将觴厥氣，過而不存，更不知其所。|
verse|Quóniam spíritus pertransíbit in illo, et non subsístet: et non cognóscet ámplius locum suum.|若主仁慈，永施於畏伊者。|
verse|Misericórdia autem Dómini ab ætérno, et usque in ætérnum super timéntes eum.|若主仁慈，永施於畏伊者。|
verse|Et justítia illíus in fílios filiórum, his qui servant testaméntum ejus: Et mémores sunt mandatórum ipsíus, ad faciéndum ea.|厥義至於子若孫，守其教令者，以記尊守厥教令。|
verse|Dóminus in cælo parávit sedem suam: et regnum ipsíus ómnibus dominábitur.|主於天已備厥座，将厥國芏。|
verse|Benedícite Dómino, omnes Ángeli ejus: poténtes virtúte, faciéntes verbum illíus, ad audiéndam vocem sermónum ejus.|衆天神宜頌揚主，富於能者，既聆其聲而行其令。|
verse|Benedícite Dómino, omnes virtútes ejus: minístri ejus, qui fácitis voluntátem ejus.|請諸德讃美主，行厥㫖厥使者。|
verse|Benedícite Dómino, ómnia ópera ejus: in omni loco dominatiónis ejus, bénedic, ánima mea, Dómino.|諸德讃美主，於其至者之衆區，予靈讚美主。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
