psalmtitle|Ps 110. Confitebor tibi|圣咏第110首|
dropcap|Confitébor tibi, Dómine, in toto corde meo: in consílio justórum, et congregatióne.|主，予以全心將讚美主，於義人會議之處。|
verse|Magna ópera Dómini: exquisíta in omnes voluntátes ejus.|主工弘矣，盡合厥志。|
verse|Conféssio et magnificéntia opus ejus: et justítia ejus manet in sǽculum sǽculi.|備全稱頌即厥工也，博施亦厥工也，而義永存。|
verse|Memóriam fecit mirabílium suórum, miséricors et miserátor Dóminus: escam dedit timéntibus se.|仁慈主已憶其昔行靈異，賜食於畏主者。主永不忘厥詔，將示厥工之德能於其民，以與伊等異教之嗣業。|
verse|Memor erit in sǽculum testaménti sui: virtútem óperum suórum annuntiábit pópulo suo: Ut det illis hereditátem géntium: ópera mánuum ejus véritas, et judícium.|主之掌握，惟直惟判；教令信實，永遠世騐；証皆真皆公。|
verse|Fidélia ómnia mandáta ejus: confirmáta in sǽculum sǽculi, facta in veritáte et æquitáte.|遣救贖於衆民，頒詔於無窮世。|
verse|Redemptiónem misit pópulo suo: mandávit in ætérnum testaméntum suum. (fit reverentia) Sanctum, et terríbile nomen ejus: inítium sapiéntiæ timor Dómini.|厥名聖哉赫哉。|
verse|Intelléctus bonus ómnibus faciéntibus eum: laudátio ejus manet in sǽculum sǽculi.|欽畏即明哲之原，循其明哲而行，乃大益。伊等稱頌，尊於永世。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
