psalmtitle|Ps 111. Beatus vir|圣咏第111首|
dropcap|Beátus vir, qui timet Dóminum: in mandátis ejus volet nimis.|畏天主真福人哉，歡忭而奉詔令。|
verse|Potens in terra erit semen ejus: generátio rectórum benedicétur.|嗣將強於世，義人後代將蒙殊福。|
verse|Glória, et divítiæ in domo ejus: et justítia ejus manet in sǽculum sǽculi.|居世且榮且富，而厥義永存。|
verse|Exórtum est in ténebris lumen rectis: miséricors, et miserátor, et justus.|質直者居暗已受光照，且惻且義。|
verse|Jucúndus homo qui miserétur et cómmodat, dispónet sermónes suos in judício: quia in ætérnum non commovébitur.|天主哀矜，濟以財，普樂斯人哉。|
verse|In memória ætérna erit justus: ab auditióne mala non timébit.|審判將慎備厥語，盖永不易動。|
verse|Parátum cor ejus speráre in Dómino, confirmátum est cor ejus: non commovébitur donec despíciat inimícos suos.|義人永憶於無窮世，將不懼惡聲。|
verse|Dispérsit, dedit paupéribus: justítia ejus manet in sǽculum sǽculi, cornu ejus exaltábitur in glória.|厥心預備既定，以望天主不易動，目懾厥仇。|
verse|Peccátor vidébit, et irascétur, déntibus suis fremet et tabéscet: desidérium peccatórum períbit.|伊散施於貧者，義且永世，毅德上徹於榮光。罪人觀即瞋怒，且切齒而狺憤，鬱而摧裂；罪人之冀望將亡。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
