psalmtitle|Ps 114. Dilexi|圣咏第114首|
dropcap|Diléxi, quóniam exáudiet Dóminus vocem oratiónis meæ.|予愛矣，蓋主允予祈禱之音。|
verse|Quia inclinávit aurem suam mihi: et in diébus meis invocábo.|已傾厥耳于我，我終身籲號。|
verse|Circumdedérunt me dolóres mortis: et perícula inférni invenérunt me.|臨終痛苦已圍我，地獄險難獲我。|
verse|Tribulatiónem et dolórem invéni: et nomen Dómini invocávi.|予得困厄並痛楚，將呼號主名。|
verse|O Dómine, líbera ánimam meam: ‡ miséricors Dóminus, et justus, et Deus noster miserétur.|救我靈，主仁慈而義，憫憐我等天主。|
verse|Custódiens párvulos Dóminus: humiliátus sum, et liberávit me.|護守幼童，予困苦已救我。|
verse|Convértere, ánima mea, in réquiem tuam: quia Dóminus benefécit tibi.|予靈應歸爾所，蓋主賜恩于爾。|
verse|Quia erípuit ánimam meam de morte: ‡ óculos meos a lácrimis, pedes meos a lapsu.|脫出予靈于死，予目于淚，予足于仆。|
verse|Placébo Dómino in regióne vivórum.|予居生活之域，將悅樂于主。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
