psalmtitle|Ps 118_1. Beati immaculati|圣咏第118_1首|
dropcap|Beáti immaculáti in via: qui ámbulant in lege Dómini.|在路無污染而行主令，福哉斯人。|
verse|Beáti, qui scrutántur testimónia ejus: in toto corde exquírunt eum.|蒐繹真典，以全心訪求主，福哉。|
verse|Non enim qui operántur iniquitátem, in viis ejus ambulavérunt.|凡行惡者，則非行厥道。|
verse|Tu mandásti mandáta tua custodíri nimis. Útinam dirigántur viæ meæ, ad custodiéndas justificatiónes tuas! Tunc non confúndar, cum perspéxero in ómnibus mandátis tuis.|爾包命恪遵教令至矣。|
verse|Confitébor tibi in directióne cordis: in eo quod dídici judícia justítiæ tuæ.|切望引吾諸道，使守爾諸義者，是殆不負屈。|
verse|Justificatiónes tuas custódiam: non me derelínquas usquequáque.|熟識教令，因習知諸義德之判，將直心稱頌主。|
verse|In quo córrigit adolescéntior viam suam? In custodiéndo sermónes tuos.|願守主令，勿全棄我。|
verse|In toto corde meo exquisívi te: ne repéllas me a mandátis tuis.|少年改其道以何事乎？守主諭是也。|
verse|In corde meo abscóndi elóquia tua: ut non peccem tibi.|以全心訪主，勿驅我於爾令之外。|
verse|Benedíctus es, Dómine: doce me justificatiónes tuas.|諸令包隱於心，免得罪主。|
verse|In lábiis meis, pronuntiávi ómnia judícia oris tui.|主爾為殊福，望以成諸義者訓示。|
verse|In via testimoniórum tuórum delectátus sum, sicut in ómnibus divítiis.|既以吾口傳告爾口諸判，悅樂於真典，如獲多財產然。|
verse|In mandátis tuis exercébor: et considerábo vias tuas.|將習於諸令，而繹思諸道。|
verse|In justificatiónibus tuis meditábor: non oblivíscar sermónes tuos.|默存諸聖義之訓，不諼厥旨。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
