psalmtitle|Ps 118_2. Retribue servo tuo|圣咏第118_2首|
dropcap|Retríbue servo tuo, vivífica me: et custódiam sermónes tuos: Revéla óculos meos: et considerábo mirabília de lege tua. Íncola ego sum in terra: non abscóndas a me mandáta tua.|償賜爾僕得活，庶守主諭。|
verse|Concupívit ánima mea desideráre justificatiónes tuas, in omni témpore.|啟吾目，以默存聖教奧異。|
verse|Increpásti supérbos: maledícti qui declínant a mandátis tuis.|予居世行旅，勿隱厥詔。|
verse|Aufer a me oppróbrium, et contémptum: quia testimónia tua exquisívi. Étenim sedérunt príncipes, et advérsum me loquebántur: servus autem tuus exercebátur in justificatiónibus tuis.|予靈願慕主義時時。|
verse|Nam et testimónia tua meditátio mea est: et consílium meum justificatiónes tuæ.|主責罰傲者，凡不遵主令皆禍人也。望除於玷辱，盖已訪真典。|
verse|Adhǽsit paviménto ánima mea: vivífica me secúndum verbum tuum.|鉅公坐而誣我，爾僕乃習爾義者。|
verse|Vias meas enuntiávi, et exaudísti me: doce me justificatiónes tuas.|真典即是予所默存，而予籌度全藉爾義訓。|
verse|Viam justificatiónum tuárum ínstrue me: et exercébor in mirabílibus tuis.|予靈附合於地，望如爾言之明告予諸途。|
verse|Dormitávit ánima mea præ tǽdio: confírma me in verbis tuis.|乞俯聽，而以諸義誨之。引於諸義之道，將習以爾奧異。|
verse|Viam iniquitátis ámove a me: et de lege tua miserére mei.|予靈憂怯昏寐，乞堅定之於主訓。|
verse|Viam veritátis elégi: judícia tua non sum oblítus.|賜我離行惡之途，而因主令矜憐。|
verse|Adhǽsi testimóniis tuis, Dómine: noli me confúndere.|將擇真實之途，而不忘主諸令。|
verse|Viam mandatórum tuórum cucúrri, cum dilatásti cor meum.|密抱主訓，將不許我玷負。主既寬豁予心，即疾趨諸令之路。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
