psalmtitle|Ps 118_3. Legem pone mihi|圣咏第118_3首|
dropcap|Legem pone mihi, Dómine, viam justificatiónum tuárum: et exquíram eam semper.|主，誨我以諸成義之道，將時時覓之。|
verse|Da mihi intelléctum, et scrutábor legem tuam: et custódiam illam in toto corde meo.|賜我明達以研究主旨，而以全心守之。|
verse|Deduc me in sémitam mandatórum tuórum: quia ipsam vólui.|引導我於爾諸行之徑，盖也望之。|
verse|Inclína cor meum in testimónia tua: et non in avarítiam.|使予心向主真典，不許岐以貪。|
verse|Avérte óculos meos ne vídeant vanitátem: in via tua vivífica me.|捩予目勿視虛偽，活之以爾道。|
verse|Státue servo tuo elóquium tuum, in timóre tuo. Ámputa oppróbrium meum quod suspicátus sum: quia judícia tua jucúnda.|賜爾僕恭敬主旨，欽畏主。|
verse|Ecce, concupívi mandáta tua: in æquitáte tua vivífica me.|斷絕余辱攸疑，盖主判皆仁。|
verse|Et véniat super me misericórdia tua, Dómine: salutáre tuum secúndum elóquium tuum.|予愛慕主令，活我於諸義。|
verse|Et respondébo exprobrántibus mihi verbum: quia sperávi in sermónibus tuis.|降慈憫於我，即昔許救世者。|
verse|Et ne áuferas de ore meo verbum veritátis usquequáque: quia in judíciis tuis supersperávi.|凡謗我者，將答曰：怙恃聖訓。|
verse|Et custódiam legem tuam semper: in sǽculum et in sǽculum sǽculi.|勿全絕予口真之言，盖亟望主斷。|
verse|Et ambulábam in latitúdine: quia mandáta tua exquisívi.|將永守主令。|
verse|Et loquébar in testimóniis tuis in conspéctu regum: et non confundébar.|因訪求主令，故豁然歡行。|
verse|Et meditábar in mandátis tuis, quæ diléxi.|世王前予証真典而不負屈。|
verse|Et levávi manus meas ad mandáta tua, quæ diléxi: et exercébar in justificatiónibus tuis.|予默存攸愛厥諸令，予舉手於攸愛者主令，且習以諸成義之道。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
