psalmtitle|Ps 118_4. Memor esto verbi tui|圣咏第118_4首|
dropcap|Memor esto verbi tui servo tuo, in quo mihi spem dedísti.|乞憶昔攸許爾僕，使得所望。|
verse|Hæc me consoláta est in humilitáte mea: quia elóquium tuum vivificávit me.|予居困中斯望則慰，盖主言已活我。|
verse|Supérbi iníque agébant usquequáque: a lege autem tua non declinávi.|傲者行惡極矣，予則不僻犯主令。|
verse|Memor fui judiciórum tuórum a sǽculo, Dómine: et consolátus sum.|主予記爾從初諸判，而愉快。|
verse|Deféctio ténuit me, pro peccatóribus derelinquéntibus legem tuam.|因罪人棄厥教令，驚憂及予。|
verse|Cantábiles mihi erant justificatiónes tuæ, in loco peregrinatiónis meæ.|予行旅所，厥諸義寵即所當歌。|
verse|Memor fui nocte nóminis tui, Dómine: et custodívi legem tuam.|主予夜中憶主名，守厥教令。|
verse|Hæc facta est mihi: quia justificatiónes tuas exquisívi.|斯守成於我內，盖訪求諸成義之德。|
verse|Pórtio mea, Dómine, dixi custodíre legem tuam.|主予曰：守厥教令，即是予嗣業。|
verse|Deprecátus sum fáciem tuam in toto corde meo: miserére mei secúndum elóquium tuum.|予以全心求，如爾言矜憐之。|
verse|Cogitávi vias meas: et convérti pedes meos in testimónia tua.|繹思予諸徑，乃回步向爾証。|
verse|Parátus sum, et non sum turbátus: ut custódiam mandáta tua.|予全備而無搖亂，以守諸令。|
verse|Funes peccatórum circumpléxi sunt me: et legem tuam non sum oblítus.|罪索圍縛我，而不忘厥令。|
verse|Média nocte surgébam ad confiténdum tibi, super judícia justificatiónis tuæ.|夜半起頌主，係主義德之諸判。|
verse|Párticeps ego sum ómnium timéntium te: et custodiéntium mandáta tua.|凡敬畏主及守主令，予與之偕。|
verse|Misericórdia tua, Dómine, plena est terra: justificatiónes tuas doce me.|主遍地以仁慈盈滿，以諸成義之籠訓我。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
