psalmtitle|Ps 118_5. Bonitatem fecisti|圣咏第118_5首|
dropcap|Bonitátem fecísti cum servo tuo, Dómine, secúndum verbum tuum.|主，已如主言恩賜爾僕。|
verse|Bonitátem, et disciplínam, et sciéntiam doce me: quia mandátis tuis crédidi.|誨我善及規及知識，盖予信奉諸令。|
verse|Priúsquam humiliárer ego delíqui: proptérea elóquium tuum custodívi.|予於被責先已得罪，故今守主訓。|
verse|Bonus es tu: et in bonitáte tua doce me justificatiónes tuas.|主乃純善，循爾本善，以諸義訓之。|
verse|Multiplicáta est super me iníquitas superbórum: ego autem in toto corde meo scrutábor mandáta tua.|傲恣無義加於我者日長，予也以全心究諸令。|
verse|Coagulátum est sicut lac cor eórum: ego vero legem tuam meditátus sum.|厥心凝如乳，予也默思主令。|
verse|Bonum mihi quia humiliásti me: ut discam justificatiónes tuas.|爾責服我則利之也，得習諸成義之訓。|
verse|Bonum mihi lex oris tui, super míllia auri et argénti.|口所出令利我哉，不啻千金。|
verse|Manus tuæ fecérunt me, et plasmavérunt me: da mihi intelléctum, et discam mandáta tua.|製造我之窑以成我，乞賜明達以習諸令。|
verse|Qui timent te vidébunt me, et lætabúntur: quia in verba tua supersperávi.|敬畏主者將視我而樂，盖予倚恃主令极矣。|
verse|Cognóvi, Dómine, quia ǽquitas judícia tua: et in veritáte tua humiliásti me.|主予已騐諸判公平，而因其真實以責我。|
verse|Fiat misericórdia tua ut consolétur me, secúndum elóquium tuum servo tuo.|如昔所許與爾僕，希以仁慈成於我內而慰之。|
verse|Véniant mihi miseratiónes tuæ, et vivam: quia lex tua meditátio mea est.|降與仁慈庶得活，盖主諸令即吾所默存者。|
verse|Confundántur supérbi, quia injúste iniquitátem fecérunt in me: ego autem exercébor in mandátis tuis.|望傲者負屈，厥行不義於我。|
verse|Convertántur mihi timéntes te: et qui novérunt testimónia tua.|予也習主諸令。|
verse|Fiat cor meum immaculátum in justificatiónibus tuis, ut non confúndar.|凡敬畏主及識諸証者，希拱助我。乞心無污於成義之訓，使不屈辱。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
