psalmtitle|Ps 118_6. Defecit in salutare|圣咏第118_6首|
dropcap|Defécit in salutáre tuum ánima mea: et in verbum tuum supersperávi.|予靈既竭於救世者，倚恃主令極矣。|
verse|Defecérunt óculi mei in elóquium tuum, dicéntes: Quando consoláberis me? Quia factus sum sicut uter in pruína: justificatiónes tuas non sum oblítus.|予目盼主約乏矣，曰：於何時安慰哉？予如皮囊漬於霜，莫忘諸成義之訓。|
verse|Quot sunt dies servi tui? quando fácies de persequéntibus me judícium? Narravérunt mihi iníqui fabulatiónes: sed non ut lex tua. Ómnia mandáta tua véritas: iníque persecúti sunt me, ádjuva me.|爾僕之日幾何乎？何時主判諸害我者？惡人語我虛事，匪從主令。|
verse|Paulo minus consummavérunt me in terra: ego autem non derelíqui mandáta tua.|主諸令即真實，無義者踵而圖害主，救我。|
verse|Secúndum misericórdiam tuam vivífica me: et custódiam testimónia oris tui.|殆將滅我於世，予不廢諸令。|
verse|In ætérnum, Dómine, verbum tuum pérmanet in cælo.|如爾仁慈活我，乃守爾口真証。|
verse|In generatiónem et generatiónem véritas tua: fundásti terram, et pérmanet.|主爾旨永行於天，爾真實於繼世，置基地而存。|
verse|Ordinatióne tua persevérat dies: quóniam ómnia sérviunt tibi.|因主制令日行有常，萬有奉事主。|
verse|Nisi quod lex tua meditátio mea est: tunc forte periíssem in humilitáte mea.|若主令余非默存，困中將亡散。|
verse|In ætérnum non oblivíscar justificatiónes tuas: quia in ipsis vivificásti me.|予永不忘成義之訓，乃爾以厥活我。|
verse|Tuus sum ego, salvum me fac: quóniam justificatiónes tuas exquisívi.|予是主物，造救我，盖色訪諸義訓。|
verse|Me exspectavérunt peccatóres ut pérderent me: testimónia tua intelléxi.|罪人伺我以亡，予則明主真証。|
verse|Omnis consummatiónis vidi finem: latum mandátum tuum nimis.|凡屬壞之物，予已見其終，爾令寬延至矣。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
