psalmtitle|Ps 118_7. Quomodo dilexi|圣咏第118_7首|
dropcap|Quómodo diléxi legem tuam, Dómine? tota die meditátio mea est.|主予曷愛主令哉！終日吾所默存。|
verse|Super inimícos meos prudéntem me fecísti mandáto tuo: quia in ætérnum mihi est.|奉主令，賜我明智，越諸仇能，矢永安。|
verse|Super omnes docéntes me intelléxi: quia testimónia tua meditátio mea est.|予智識越凡講誨者，主真証即予所默存。|
verse|Super senes intelléxi: quia mandáta tua quæsívi.|予明邁耆年者，盖訪循主諸訓。|
verse|Ab omni via mala prohíbui pedes meos: ut custódiam verba tua.|禁錯趾於諸惡徑，以守主言。|
verse|A judíciis tuis non declinávi: quia tu legem posuísti mihi.|莫岐趨於訓，既箴規予。|
verse|Quam dúlcia fáucibus meis elóquia tua, super mel ori meo! A mandátis tuis intelléxi: proptérea odívi omnem viam iniquitátis.|爾語怡予喉至哉，予口飴於蜜哉。予明習主諸訓，故憎行諸惡徑。|
verse|Lucérna pédibus meis verbum tuum, et lumen sémitis meis.|主訓為予足之燈，予步之光。|
verse|Jurávi, et státui custodíre judícia justítiæ tuæ.|矢堅守主諸義之訓。|
verse|Humiliátus sum usquequáque, Dómine: vivífica me secúndum verbum tuum.|主予負屈至矣，乞因主言活之。|
verse|Voluntária oris mei beneplácita fac, Dómine: et judícia tua doce me. Ánima mea in mánibus meis semper: et legem tuam non sum oblítus.|主納予口所願，而以諸判訓之。|
verse|Posuérunt peccatóres láqueum mihi: et de mandátis tuis non errávi.|予靈時在予手，然不忘厥令。|
verse|Hereditáte acquisívi testimónia tua in ætérnum: quia exsultátio cordis mei sunt.|造孽者設陷阱於我，我也不迷於厥令。|
verse|Inclinávi cor meum ad faciéndas justificatiónes tuas in ætérnum, propter retributiónem.|主証已為予永嗣業，盖為予心之愉。予引向予心，以永守主令，為報之慰。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
