psalmtitle|Ps 118_8. Iniquos odio habui|圣咏第118_8首|
dropcap|Iníquos ódio hábui: et legem tuam diléxi.|予既憎無義人，而愛主令。|
verse|Adjútor et suscéptor meus es tu: et in verbum tuum supersperávi.|主為吾保存畏避者，予望主言切矣。|
verse|Declináte a me, malígni: et scrutábor mandáta Dei mei.|逆黨即避去，我將考詳予天主令。|
verse|Súscipe me secúndum elóquium tuum, et vivam: et non confúndas me ab exspectatióne mea. Ádjuva me, et salvus ero: et meditábor in justificatiónibus tuis semper.|因主訓接而懷之，乃活。|
verse|Sprevísti omnes discedéntes a judíciis tuis: quia injústa cogitátio eórum.|無失望救我，我即安時，將默存諸義。凡違諸義者，爾賤棄之，盖常蓄慮而不義。|
verse|Prævaricántes reputávi omnes peccatóres terræ: ídeo diléxi testimónia tua.|世之負恩者，予識為罪人，故予已愛守諸証。|
verse|Confíge timóre tuo carnes meas: a judíciis enim tuis tímui.|望以主威刺身，予懔懔諸判。|
verse|Feci judícium et justítiam: non tradas me calumniántibus me.|既自施義判，勿付於諸誣誑者。|
verse|Súscipe servum tuum in bonum: non calumniéntur me supérbi. Óculi mei defecérunt in salutáre tuum: et in elóquium justítiæ tuæ.|以仁慈接懷爾僕，禁傲惡者誣污予目。竭於救世者及爾義約矣。|
verse|Fac cum servo tuo secúndum misericórdiam tuam: et justificatiónes tuas doce me.|循爾慈加爾僕，而以成諸義者訓之。|
verse|Servus tuus sum ego: da mihi intelléctum, ut sciam testimónia tua.|予即爾僕也，賜明達以証諸真典。|
verse|Tempus faciéndi, Dómine: dissipavérunt legem tuam. Ídeo diléxi mandáta tua, super aurum et topázion.|主行為延遲，多衆散亂主令。|
verse|Proptérea ad ómnia mandáta tua dirigébar: omnem viam iníquam ódio hábui.|予愛主令，踰於黄金及多巴爵寶石。故予所向惟諸教令，凡諸惡行予疾惡者。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
