psalmtitle|Ps 120. Levavi oculos|圣咏第120首|
dropcap|Levávi óculos meos in montes, unde véniet auxílium mihi.|已舉予目往上，從彼予祐將來。|
verse|Auxílium meum a Dómino, qui fecit cælum et terram.|已舉予目往上，從彼予祐將來。|
verse|Non det in commotiónem pedem tuum: neque dormítet qui custódit te.|護祐予由造天地之主。|
verse|Ecce, non dormitábit neque dórmiet, qui custódit Israël.|護守爾勿令爾足搖動，護守義撒厄爾非假寐及眠。|
verse|Dóminus custódit te, Dóminus protéctio tua, super manum déxteram tuam.|主保爾于諸凶，主為爾庇蔭。|
verse|Per diem sol non uret te: neque luna per noctem.|將侍爾右，日太陽將不晒爾，夕太陰亦然。|
verse|Dóminus custódit te ab omni malo: custódiat ánimam tuam Dóminus.|主庇爾于諸逆，主護守厥靈。|
verse|Dóminus custódiat intróitum tuum, et éxitum tuum: ex hoc nunc, et usque in sǽculum.|主庇蔭厥出厥入，自今迄于無窮世。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
