psalmtitle|Ps 131. Domine, non est exaltatum cor meum|圣咏第131首|
dropcap|Meménto, Dómine, David, et omnis mansuetúdinis ejus: Sicut jurávit Dómino, votum vovit Deo Jacob: Si introíero in tabernáculum domus meæ, si ascéndero in lectum strati mei: Si dédero somnum óculis meis, et pálpebris meis dormitatiónem: Et réquiem tempóribus meis: donec invéniam locum Dómino, tabernáculum Deo Jacob.|主請記憶達未德，並厥諸良善。|
verse|Ecce, audívimus eam in Éphrata: invénimus eam in campis silvæ.|如昔誓許主雅歌伯天主，予不敢突進內室，登榻設茵。|
verse|Introíbimus in tabernáculum ejus: adorábimus in loco, ubi stetérunt pedes ejus.|與閉予厥目，交睫假寐，枕藉憩息；至獲主安所，雅歌伯天主宮。|
verse|Surge, Dómine, in réquiem tuam, tu et arca sanctificatiónis tuæ.|我等聞在厄弗達，幸獲在林麓曠原。|
verse|Sacerdótes tui induántur justítiam: et sancti tui exsúltent.|吾將進厥內室，敬拜履所。|
verse|Propter David, servum tuum, non avértas fáciem Christi tui.|主請舉趾安步，並携聖櫃。|
verse|Jurávit Dóminus David veritátem, et non frustrábitur eam: De fructu ventris tui ponam super sedem tuam.|望爾鐸德服義，衆聖歡躍。|
verse|Si custodíerint fílii tui testaméntum meum, et testimónia mea hæc, quæ docébo eos: Et fílii eórum usque in sǽculum, sedébunt super sedem tuam.|為爾僕達未德，勿背爾救世之面。|
verse|Quóniam elégit Dóminus Sion: elégit eam in habitatiónem sibi.|昔定誓達未德，真實弗爽：由爾腹之實，將置爾座上。|
verse|Hæc réquies mea in sǽculum sǽculi: hic habitábo quóniam elégi eam.|若爾衆子遵予遺約，及將迪教誥厥子若孫，世世坐爾座上。|
verse|Víduam ejus benedícens benedícam: páuperes ejus saturábo pánibus.|主已選西婉，定為厥居：予即安息於斯，世世將居，盖已選之。|
verse|Sacerdótes ejus índuam salutári: et sancti ejus exsultatióne exsultábunt.|將降福厥寡，以麫餅食厥貧。|
verse|Illuc prodúcam cornu David, parávi lucérnam Christo meo.|聖寵被撒責爾鐸德，暨衆聖忻愉踴躍。|
verse|Inimícos ejus índuam confusióne: super ipsum autem efflorébit sanctificátio mea.|彼達未德勇毅，於彼裂庭燎。敬基利斯督，戮辱厥仇，予寵綏於伊。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
