psalmtitle|Ps 138. Confitebor tibi, Domine, in toto corde meo|圣咏第138首|
dropcap|Dómine, probásti me, et cognovísti me: tu cognovísti sessiónem meam, et resurrectiónem meam.|主爾已試且知予，爾已知予坐及予甦。|
verse|Intellexísti cogitatiónes meas de longe: sémitam meam, et funículum meum investigásti.|逺達予諸思，探予迹予道，預知子諸途。|
verse|Et omnes vias meas prævidísti: quia non est sermo in lingua mea.|予舌無何言，主洞知今古諸事。|
verse|Ecce, Dómine, tu cognovísti ómnia novíssima, et antíqua: tu formásti me, et posuísti super me manum tuam.|造我而拊揗我，爾知係我。爾知異哉，堅然而不及知。|
verse|Mirábilis facta est sciéntia tua ex me: confortáta est, et non pótero ad eam.|予將避爾神，避爾容何奔？若登天，主在。|
verse|Quo ibo a spíritu tuo? et quo a fácie tua fúgiam? Si ascéndero in cælum, tu illic es: si descéndero in inférnum, ades.|下地獄，亦在。|
verse|Si súmpsero pennas meas dilúculo, et habitávero in extrémis maris: Étenim illuc manus tua dedúcet me: et tenébit me déxtera tua.|若黎明以吾羽翔於海濵，彼所爾導我，右手將持我。|
verse|Et dixi: Fórsitan ténebræ conculcábunt me: et nox illuminátio mea in delíciis meis.|予曰：或黑影堕我乎？斯夜為予照，予樂。盖爾前即夜不暗，夜光如白曰，夜與日無異。|
verse|Quia ténebræ non obscurabúntur a te, et nox sicut dies illuminábitur: sicut ténebræ ejus, ita et lumen ejus.|爾扶掖予，自母胎保之。|
verse|Quia tu possedísti renes meos: suscepísti me de útero matris meæ.|予將讃美爾，丕顯赫奕哉，爾工之竒。|
verse|Confitébor tibi quia terribíliter magnificátus es: ‡ mirabília ópera tua, et ánima mea cognóscit nimis.|予靈深知，暗畀予以骨，予體於内非暗於爾。|
verse|Non est occultátum os meum a te, quod fecísti in occúlto: et substántia mea in inferióribus terræ.|爾目覩厥失，皆録於册。日所受模，一一如是。|
verse|Imperféctum meum vidérunt óculi tui, et in libro tuo omnes scribéntur: dies formabúntur, et nemo in eis.|天主爾友隆重至哉，厥王堅定甚哉。|
verse|Mihi autem nimis honorificáti sunt amíci tui, Deus: nimis confortátus est principátus eórum.|予將數彼生之衆，數越於沙。|
verse|Dinumerábo eos, et super arénam multiplicabúntur: exsurréxi, et adhuc sum tecum.|予復活而尚偕爾。|
verse|Si occíderis, Deus, peccatóres: viri sánguinum, declináte a me: Quia dícitis in cogitatióne: Accípient in vanitáte civitátes tuas.|天主若滅犯罪者，嗜殺者即避我。彼内思將受爾城，徒然耳。|
verse|Nonne qui odérunt te, Dómine, óderam? et super inimícos tuos tabescébam? Perfécto ódio óderam illos: et inimíci facti sunt mihi.|主凢惡爾，子非所惡乎？因爾仇予，摧損予，甚惡伊等。|
verse|Proba me, Deus, et scito cor meum: intérroga me, et cognósce sémitas meas.|彼即為予仇。|
verse|Et vide, si via iniquitátis in me est: et deduc me in via ætérna.|天主試我而識予心，詢予而識予諸路。且視子或履惡道乎？導我於常生。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
