psalmtitle|Ps 145. Lauda, anima mea|圣咏第145首|
dropcap|Lauda, ánima mea, Dóminum, laudábo Dóminum in vita mea: psallam Deo meo quámdiu fúero.|予靈應讚美主。|
verse|Nolíte confídere in princípibus: in fíliis hóminum, in quibus non est salus.|在生讚美主，活時唱頌吾天主。|
verse|Exíbit spíritus ejus, et revertétur in terram suam: in illa die períbunt omnes cogitatiónes eórum.|勿倚鉅公及人子，於伊等無益。厥神已出，將歸于厥土，彼日厥思想已亡。|
verse|Beátus, cujus Deus Jacob adjútor ejus, spes ejus in Dómino, Deo ipsíus: qui fecit cælum et terram, mare, et ómnia, quæ in eis sunt.|義撒厄爾（雅歌伯）天主為其扶祐，真福人哉。|
verse|Qui custódit veritátem in sǽculum, facit judícium injúriam patiéntibus: dat escam esuriéntibus.|厥望在于造天地海，與其所包涵厥主天主。|
verse|Dóminus solvit compedítos: Dóminus illúminat cæcos.|伊存真實世世，判斷為無辜者。飢者與食，主解諸縳者。|
verse|Dóminus érigit elísos, Dóminus díligit justos.|主明諸瞽者，主拯仆傷者。|
verse|Dóminus custódit ádvenas, pupíllum et víduam suscípiet: et vias peccatórum dispérdet.|主愛諸義者，主護守諸旅者。|
verse|Regnábit Dóminus in sǽcula, Deus tuus, Sion, in generatiónem et generatiónem.|接失怙恃者及守寡者，惡人之導散亡。主永王西婉爾天主世世。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
