psalmtitle|Ps 149. Cantate Domino|圣咏第149首|
dropcap|Cantáte Dómino cánticum novum: laus ejus in ecclésia sanctórum.|請衆向主奏新歌，稱揚於衆聖之會。|
verse|Lætétur Israël in eo, qui fecit eum: et fílii Sion exsúltent in rege suo.|義撒厄爾應樂於造伊者之主，而西婉衆女子忻愉於厥王。|
verse|Laudent nomen ejus in choro: in týmpano, et psaltério psallant ei: Quia beneplácitum est Dómino in pópulo suo: et exaltábit mansuétos in salútem.|讚美主名。|
verse|Exsultábunt sancti in glória: lætabúntur in cubílibus suis.|倡酬之韻，協於鼓於十絃琴，奏聖詠。盖主本悅厥民，舉善良者得永福。|
verse|Exaltatiónes Dei in gútture eórum: et gládii ancípites in mánibus eórum.|衆聖將踴躍榮福，而宴然恬愉於化境。|
verse|Ad faciéndam vindíctam in natiónibus: increpatiónes in pópulis.|喉則頌揚天主，而手握鋒劍。|
verse|Ad alligándos reges eórum in compédibus: et nóbiles eórum in mánicis férreis.|以雪怨於異教者，責訊多衆民。|
verse|Ut fáciant in eis judícium conscríptum: glória hæc est ómnibus sanctis ejus.|鐵械諸王足，而梏顯傲者手，以行預書之審判。此即為衆聖之榮。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
