psalmtitle|Ps 15. Conserva me, Domine|圣咏第15首|
dropcap|Consérva me, Dómine, quóniam sperávi in te. ‡ Dixi Dómino: Deus meus es tu, quóniam bonórum meórum non eges.|主，保全予，予已望主。|
verse|Sanctis, qui sunt in terra ejus, mirificávit omnes voluntátes meas in eis.|向主曰：爾乃吾天主，蓋不須予物。|
verse|Multiplicátæ sunt infirmitátes eórum: póstea acceleravérunt.|顯揚予諸欲於居世厥聖。|
verse|Non congregábo conventícula eórum de sanguínibus, nec memor ero nóminum eórum per lábia mea.|伊等疾苦日甚，將旋速已。|
verse|Dóminus pars hereditátis meæ, et cálicis mei: tu es, qui restítues hereditátem meam mihi.|予非糾集血凶，即予口不道其名。|
verse|Funes cecidérunt mihi in præcláris: étenim heréditas mea præclára est mihi.|主乃吾所嗣所苦之分，爾將復予嗣業。|
verse|Benedícam Dóminum, qui tríbuit mihi intelléctum: ínsuper et usque ad noctem increpuérunt me renes mei.|械繫翻為珍善，予嗣業美哉。|
verse|Providébam Dóminum in conspéctu meo semper: quóniam a dextris est mihi, ne commóvear.|將讚美主賜予明知，予腰訓予至夕時。|
verse|Propter hoc lætátum est cor meum, et exsultávit lingua mea: ínsuper et caro mea requiéscet in spe.|時憶主於前，主在予右令予無動搖。|
verse|Quóniam non derelínques ánimam meam in inférno: nec dabis sanctum tuum vidére corruptiónem.|緣此心樂而舌愉，吾體安息而望之。|
verse|Notas mihi fecísti vias vitæ, adimplébis me lætítia cum vultu tuo: delectatiónes in déxtera tua usque in finem.|爾非棄吾靈於地獄，又不使爾聖敗落。俾吾識生命之道，因爾容以樂將滿予衷，至終歡樂於爾右。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
