psalmtitle|Ps 18. Caeli enarrant|圣咏第18首|
dropcap|Cæli enárrant glóriam Dei: et ópera mánuum ejus annúntiat firmaméntum.|諸天頌揚天主榮，堅定天傳示厥掌之工。|
verse|Dies diéi erúctat verbum, et nox nocti índicat sciéntiam.|日遞傳於日，而夜遞於夜，指其知。|
verse|Non sunt loquélæ, neque sermónes, quorum non audiántur voces eórum.|無語無詞，不聞其音。|
verse|In omnem terram exívit sonus eórum: et in fines orbis terræ verba eórum.|其聲已傳遍地，而厥訓言達於坤輿之四陲。主置其幕庭於太陽，而袨麗如新出於閤，迅如巨人馳騁。|
verse|In sole pósuit tabernáculum suum: et ipse tamquam sponsus procédens de thálamo suo: Exsultávit ut gigas ad curréndam viam, a summo cælo egréssio ejus: Et occúrsus ejus usque ad summum ejus: nec est qui se abscóndat a calóre ejus.|出自至上天，而會於其至峻，無有避其熱。|
verse|Lex Dómini immaculáta, convértens ánimas: testimónium Dómini fidéle, sapiéntiam præstans párvulis.|主道無染，化變靈性；主証忠實，使幼童智。|
verse|Justítiæ Dómini rectæ, lætificántes corda: præcéptum Dómini lúcidum, illúminans óculos.|主判真實，悅樂諸心；主令光明，照牖衆目。畏主之德，聖德也，永世恒存；主判真實而自義。|
verse|Timor Dómini sanctus, pérmanens in sǽculum sǽculi: judícia Dómini vera, justificáta in semetípsa.|當愛慕踰於金寶，而甘於蜜。|
verse|Desiderabília super aurum et lápidem pretiósum multum: et dulcióra super mel et favum. Étenim servus tuus custódit ea, in custodiéndis illis retribútio multa.|盖爾僕守之守之，其報甚厚。|
verse|Delícta quis intéllegit? ab occúltis meis munda me: et ab aliénis parce servo tuo.|誰自悟過愆？望滌於予隱暗，而以他人之故赦免爾僕。若罪不為我主，予將無污而滌潔其大諐。|
verse|Si mei non fúerint domináti, tunc immaculátus ero: et emundábor a delícto máximo.|予言將合旨，而心默存時，在主臺前。|
verse|Et erunt ut compláceant elóquia oris mei: et meditátio cordis mei in conspéctu tuo semper.|主予扶祐，及予救贖。|
verse|Dómine, adjútor meus, et redémptor meus.|欽頌榮福於罷德肋，及無窮世。亞孟。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
