psalmtitle|Ps 19. Caeli enarrant gloriam Dei|圣咏第19首|
dropcap|Exáudiat te Dóminus in die tribulatiónis: prótegat te nomen Dei Jacob.|望主予困危曰：俯聼爾雅歌伯天主名，護翼爾。|
verse|Mittat tibi auxílium de sancto: et de Sion tueátur te.|由聖殿降祐於爾，自西婉䕃庇爾。|
verse|Memor sit omnis sacrifícii tui: et holocáustum tuum pingue fiat.|存記爾諸獻儀，爾全祭為脂。|
verse|Tríbuat tibi secúndum cor tuum: et omne consílium tuum confírmet.|因爾心畀之，成爾諸謀。|
verse|Lætábimur in salutári tuo: et in nómine Dei nostri magnificábimur. Ímpleat Dóminus omnes petitiónes tuas: nunc cognóvi quóniam salvum fecit Dóminus Christum suum.|吾將樂於爾救世者，因天主名吾丕顯焉。主滿爾諸求。|
verse|Exáudiet illum de cælo sancto suo: in potentátibus salus déxteræ ejus.|今予則知主已救厥基利斯多。|
verse|Hi in cúrribus, et hi in equis: nos autem in nómine Dómini, Dei nostri invocábimus.|自聖天俯聼，保全於右手之能。|
verse|Ipsi obligáti sunt, et cecidérunt: nos autem surréximus et erécti sumus.|伊等恃多車馬，吾儕惟呼天主名。|
verse|Dómine, salvum fac regem: et exáudi nos in die, qua invocavérimus te.|伊等被拘而落，吾則復起而立。望主救王，呼號爾日俯聼我等。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
