psalmtitle|Ps 2. Quare fremuerunt|圣咏第2首|
dropcap|Quare fremuérunt gentes: et pópuli meditáti sunt inánia? Astitérunt reges terræ, et príncipes convenérunt in unum advérsus Dóminum, et advérsus Christum ejus.|異教者因何嗔叱，而多衆徒謀在虛？世王鉅公合一謀，主並厥基利斯督。|
verse|Dirumpámus víncula eórum: et proiciámus a nobis jugum ipsórum.|異教者因何嗔叱，而多衆徒謀在虛？世王鉅公合一謀，主並厥基利斯督。|
verse|Qui hábitat in cælis, irridébit eos: et Dóminus subsannábit eos.|吾儕且破厥桎梏，且棄於我董厥軛。|
verse|Tunc loquétur ad eos in ira sua, et in furóre suo conturbábit eos.|居天者將誚而哂，伊等維時震怒，諭之而忿然侮辱之。|
verse|Ego autem constitútus sum Rex ab eo super Sion montem sanctum ejus, prǽdicans præcéptum ejus.|予於伊奉遣，為西婉聖山之王，傳厥教令。|
verse|Dóminus dixit ad me: Fílius meus es tu, ego hódie génui te.|主諭予曰：爾為予子，今日生爾。|
verse|Póstula a me, et dabo tibi gentes hereditátem tuam, et possessiónem tuam términos terræ.|祈予，予將與爾異教者爾嗣業，爾權至於遍地之末境。|
verse|Reges eos in virga férrea, et tamquam vas fíguli confrínges eos.|以鐵枝治伊等，而如窑瓷將裂。|
verse|Et nunc, reges, intellégite: erudímini, qui judicátis terram.|今諸王宜聽，判世者且知之。|
verse|Servíte Dómino in timóre: et exsultáte ei cum tremóre.|宜事主而欽畏，宜向主而躍且顫。|
verse|Apprehéndite disciplínam, nequándo irascátur Dóminus, et pereátis de via justa.|操守規責，恐主怒，聽爾離於義道。|
verse|Cum exárserit in brevi ira ejus: beáti omnes qui confídunt in eo.|厥忿一時驟熾，凡望主皆福人哉。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
