psalmtitle|Ps 20. Domine, in virtute tua|圣咏第20首|
dropcap|Dómine, in virtúte tua lætábitur rex: et super salutáre tuum exsultábit veheménter.|主於爾德能王將歡樂，賴爾拯愉甚。|
verse|Desidérium cordis ejus tribuísti ei: et voluntáte labiórum ejus non fraudásti eum.|爾已賜厥心覬覦，弗負厥願。|
verse|Quóniam prævenísti eum in benedictiónibus dulcédinis: posuísti in cápite ejus corónam de lápide pretióso.|蓋爾以聖福之飴預示伊，以王冕旒加厥首。|
verse|Vitam pétiit a te: et tribuísti ei longitúdinem diérum in sǽculum, et in sǽculum sǽculi.|伊求生命爾即壽以無窮世。|
verse|Magna est glória ejus in salutári tuo: glóriam et magnum decórem impónes super eum.|獲榮於爾救世者弘矣，將加榮且尊顯之。|
verse|Quóniam dabis eum in benedictiónem in sǽculum sǽculi: lætificábis eum in gáudio cum vultu tuo.|爾將降永福於伊，以聖榮賜福殊甚。|
verse|Quóniam rex sperat in Dómino: et in misericórdia Altíssimi non commovébitur.|王且望主，而至尊者之仁慈終不昜動。|
verse|Inveniátur manus tua ómnibus inimícis tuis: déxtera tua invéniat omnes, qui te odérunt.|予願爾手復諸仇，爾右手獲凢惡爾者。|
verse|Pones eos ut clíbanum ignis in témpore vultus tui: Dóminus in ira sua conturbábit eos, et devorábit eos ignis.|爾顯容時，投伊等於火阱。|
verse|Fructum eórum de terra perdes: et semen eórum a fíliis hóminum.|主盛怒伊等散亂，火即吞下。|
verse|Quóniam declinavérunt in te mala: cogitavérunt consília, quæ non potuérunt stabilíre.|敗棄厥實於地，而人殄厥種已仆。|
verse|Quóniam pones eos dorsum: in relíquiis tuis præparábis vultum eórum.|凶惡於爾，厥計弗成。|
verse|Exaltáre, Dómine, in virtúte tua: cantábimus et psallémus virtútes tuas.|物爾面背彼，於爾餘零者將示爾容。望主顯爾德能，吾將歌頌爾之諸德。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
