psalmtitle|Ps 23. Domini est terra|圣咏第23首|
dropcap|Dómini est terra, et plenitúdo ejus: orbis terrárum, et univérsi qui hábitant in eo.|大地其實，坤輿其寓者，統屬主造。|
verse|Quia ipse super mária fundávit eum: et super flúmina præparávit eum.|主奠基諸海之上，而錯繡俯臨其江河。|
verse|Quis ascéndet in montem Dómini? aut quis stabit in loco sancto ejus? Ínnocens mánibus et mundo corde, qui non accépit in vano ánimam suam, nec jurávit in dolo próximo suo.|誰登主山？且誰居厥聖所乎？行無辜而心净者，不忽棄其靈，並已矢不欺近。|
verse|Hic accípiet benedictiónem a Dómino: et misericórdiam a Deo, salutári suo.|斯將蒙福於主，及哀矜於救之者天主。|
verse|Hæc est generátio quæréntium eum, quæréntium fáciem Dei Jacob.|求謁主，求謁雅歌伯天主者之聖容，即是伊輩。鉅公擎爾諸門，且諸永門啟，而榮福之王將進。|
verse|Attóllite portas, príncipes, vestras, et elevámini, portæ æternáles: et introíbit Rex glóriæ.|斯榮福之王為誰？強而能之主，當陣之雄主。|
verse|Quis est iste Rex glóriæ? Dóminus fortis et potens: Dóminus potens in prǽlio.|鉅公擎爾諸門，且諸永門啟，而榮福之王將進。|
verse|Attóllite portas, príncipes, vestras, et elevámini, portæ æternáles: et introíbit Rex glóriæ.|斯榮福之王為誰？德能之主，即是榮福之王。|
verse|Quis est iste Rex glóriæ? Dóminus virtútum ipse est Rex glóriæ.|欽頌榮福於罷德肋，及無窮世。亞孟。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
