psalmtitle|Ps 24. Ad te, Domine, levavi|圣咏第24首|
dropcap|Ad te, Dómine, levávi ánimam meam: Deus meus, in te confído, non erubéscam.|已舉予靈向吾主。|
verse|Neque irrídeant me inimíci mei: étenim univérsi, qui sústinent te, non confundéntur.|賴爾無愧，即我讐不得侮我。|
verse|Confundántur omnes iníqua agéntes supervácue.|凡望爾者將不負屈，凡行不義者無故應負屈矣。|
verse|Vias tuas, Dómine, demónstra mihi: et sémitas tuas édoce me.|主示予爾道，而誨諸徑。|
verse|Dírige me in veritáte tua, et doce me: quia tu es, Deus, salvátor meus, et te sustínui tota die.|引我於爾真實訓我，蓋爾乃吾天主救贖我，終日忍爾。|
verse|Reminíscere miseratiónum tuárum, Dómine, et misericordiárum tuárum, quæ a sǽculo sunt.|主宜記爾矜憐，與無始之仁慈。|
verse|Delícta juventútis meæ, et ignorántias meas ne memíneris.|勿記我妙齡不義及予罔知，主因爾仁慈記我，主為爾善好。|
verse|Secúndum misericórdiam tuam meménto mei tu: propter bonitátem tuam, Dómine.|主飴而直，為此設教令于道上。|
verse|Dulcis et rectus Dóminus: propter hoc legem dabit delinquéntibus in via.|犯義者審時引指，良善將誨馴和者。|
verse|Díriget mansuétos in judício: docébit mites vias suas.|厥道主道皆仁慈而真實，訪厥詔令與厥証。|
verse|Univérsæ viæ Dómini, misericórdia et véritas, requiréntibus testaméntum ejus et testimónia ejus.|主因爾名寬宥予多罪，畏天主疇人？定教令於其攸選之道。|
verse|Propter nomen tuum, Dómine, propitiáberis peccáto meo: multum est enim.|厥靈將寓於諸好，厥裔將嗣土。|
verse|Quis est homo qui timet Dóminum? legem státuit ei in via, quam elégit. Ánima ejus in bonis demorábitur: et semen ejus hereditábit terram.|畏主主為厥穩定，而示厥教令。|
verse|Firmaméntum est Dóminus timéntibus eum: et testaméntum ipsíus ut manifestétur illis. Óculi mei semper ad Dóminum: quóniam ipse evéllet de láqueo pedes meos.|予目時望主，蓋主將脫吾足于索套。|
verse|Réspice in me, et miserére mei: quia únicus et pauper sum ego.|回視我憐憫我，蓋予孑然而窮。|
verse|Tribulatiónes cordis mei multiplicátæ sunt: de necessitátibus meis érue me.|予心困厄它加多，救我于攸需。|
verse|Vide humilitátem meam, et labórem meum: et dimítte univérsa delícta mea.|視我煢獨及我苦勞，而赦免我于諸罪。|
verse|Réspice inimícos meos quóniam multiplicáti sunt, et ódio iníquo odérunt me.|請觀予讐倍多已，而無義惡惡我。|
verse|Custódi ánimam meam, et érue me: non erubéscam quóniam sperávi in te.|護守我靈而救我，予無愧蓋望爾。|
verse|Innocéntes et recti adhæsérunt mihi: quia sustínui te.|無辜而直者已親我，蓋予忍爾。|
verse|Líbera, Deus, Israël, ex ómnibus tribulatiónibus suis.|義撒厄爾天主救伊等於諸厥逆境。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
