psalmtitle|Ps 26. Dominus illuminatio mea|圣咏第26首|
dropcap|Dóminus illuminátio mea, et salus mea, quem timébo? Dóminus protéctor vitæ meæ, a quo trepidábo? Dum apprópiant super me nocéntes, ut edant carnes meas: Qui tríbulant me inimíci mei, ipsi infirmáti sunt, et cecidérunt.|主予照予好予無何懼，主護予命予無何顫。|
verse|Si consístant advérsum me castra, non timébit cor meum.|予仇邇予而欲食吾肉，難我者予仇彼即已弱而仆下。|
verse|Si exsúrgat advérsum me prǽlium, in hoc ego sperábo.|若眾軍向予前予心不懼，若交鋒向我於是即予望。|
verse|Unam pétii a Dómino, hanc requíram, ut inhábitem in domo Dómini ómnibus diébus vitæ meæ: Ut vídeam voluptátem Dómini, et vísitem templum ejus.|求主一事而茲訪必獲，即終身居於主宮。|
verse|Quóniam abscóndit me in tabernáculo suo: in die malórum protéxit me in abscóndito tabernáculi sui.|覩主歡樂而欽拜厥殿，緣遮我於宮裏。|
verse|In petra exaltávit me: et nunc exaltávit caput meum super inimícos meos.|凶日遮我於內宮，於石今舉揚我于諸仇之上。|
verse|Circuívi, et immolávi in tabernáculo ejus hóstiam vociferatiónis: cantábo, et psalmum dicam Dómino.|於厥宮予周列祭呼號之犧牲，將唱而向主稱頌聖咏。|
verse|Exáudi, Dómine, vocem meam, qua clamávi ad te: miserére mei, et exáudi me.|主俯聽予禱，矜憐我而垂允我。|
verse|Tibi dixit cor meum, exquisívit te fácies mea: fáciem tuam, Dómine, requíram.|予心已語爾，予容訪爾，主予將訪爾容。|
verse|Ne avértas fáciem tuam a me: ne declínes in ira a servo tuo.|勿背爾容于我，嗔怒勿回爾僕。|
verse|Adjútor meus esto: ne derelínquas me, neque despícias me, Deus, salutáris meus.|望爾護祐我，勿棄我予好天主，勿忽我。|
verse|Quóniam pater meus, et mater mea dereliquérunt me: Dóminus autem assúmpsit me.|蓋予父予毋遺棄我，主接收我。|
verse|Legem pone mihi, Dómine, in via tua: et dírige me in sémitam rectam propter inimícos meos.|望主於爾道與我規令，引我於直徑為我諸仇。|
verse|Ne tradíderis me in ánimas tribulántium me: quóniam insurrexérunt in me testes iníqui, et mentíta est iníquitas sibi.|勿付我於難我者，蓋多誣証已起而厥惡自誣。|
verse|Credo vidére bona Dómini in terra vivéntium.|予信於活域觀諸美好。|
verse|Exspécta Dóminum, viríliter age: et confortétur cor tuum, et sústine Dóminum.|俟主勇行且心堅，而忍主。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
