psalmtitle|Ps 28. Ad te, Domine, clamabo|圣咏第28首|
dropcap|Afférte Dómino, fílii Dei: afférte Dómino fílios aríetum.|天主衆子奉獻主，山羊之羔奉獻光榮及尊敬，光榮厥名，欽崇主於聖廊。|
verse|Afférte Dómino glóriam et honórem, afférte Dómino glóriam nómini ejus: adoráte Dóminum in átrio sancto ejus.|主聲水上，主赫如雷，主於多水上。|
verse|Vox Dómini super aquas, Deus majestátis intónuit: Dóminus super aquas multas.|主聲維勇，主聲丕顯。|
verse|Vox Dómini in virtúte: vox Dómini in magnificéntia.|主聲破裂利巴諾山，則獨鹿榷碎如利巴諾犢。|
verse|Vox Dómini confringéntis cedros: et confrínget Dóminus cedros Líbani: Et commínuet eas tamquam vítulum Líbani: et diléctus quemádmodum fílius unicórnium.|愛悦者猶麟麟之子。|
verse|Vox Dómini intercidéntis flammam ignis: vox Dómini concutiéntis desértum: et commovébit Dóminus desértum Cades.|主聲分飛火熖，震動加得曠野。|
verse|Vox Dómini præparántis cervos, et revelábit condénsa: et in templo ejus omnes dicent glóriam.|主聲備山鹿，將顯叢林。|
verse|Dóminus dilúvium inhabitáre facit: et sedébit Dóminus Rex in ætérnum.|衆頌榮於厥殿，使淹地為居而王，將永坐。|
verse|Dóminus virtútem pópulo suo dabit: Dóminus benedícet pópulo suo in pace.|主將賜勇於厥民，並降和平。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
