psalmtitle|Ps 29. Afferte Domino, filii Dei|圣咏第29首|
dropcap|Exaltábo te, Dómine, quóniam suscepísti me: nec delectásti inimícos meos super me.|主予舉揚爾，盖已接我，不許係予事悦予讐。|
verse|Dómine, Deus meus, clamávi ad te, et sanásti me.|主予天主，予號爾爾已治予。|
verse|Dómine, eduxísti ab inférno ánimam meam: salvásti me a descendéntibus in lacum.|主爾已提予靈出地獄，救予於淵下者。|
verse|Psállite Dómino, sancti ejus: et confitémini memóriæ sanctitátis ejus.|厥聖稱頌主，稱頌本聖者。|
verse|Quóniam ira in indignatióne ejus: et vita in voluntáte ejus.|記憶忿懥有怒，而意欲生之。|
verse|Ad vésperum demorábitur fletus: et ad matutínum lætítia.|夕涕而朝樂。予富滿時，輙曰將永不昜。|
verse|Ego autem dixi in abundántia mea: Non movébor in ætérnum.|主於予美，已賜德能。|
verse|Dómine, in voluntáte tua, præstitísti decóri meo virtútem.|背爾容於我，我即不寧。|
verse|Avertísti fáciem tuam a me, et factus sum conturbátus.|主予將呼號爾，求予天主。|
verse|Ad te, Dómine, clamábo: et ad Deum meum deprecábor.|壞敗我血驅有何益？灰土讃美爾乎？頌揚爾真實乎？主已俯聼而矜憐予，主成為予扶祐。|
verse|Quæ utílitas in sánguine meo, dum descéndo in corruptiónem? Numquid confitébitur tibi pulvis, aut annuntiábit veritátem tuam? Audívit Dóminus, et misértus est mei: Dóminus factus est adjútor meus.|爾易予泣以樂，裂予麻衣，圍以歡樂。|
verse|Convertísti planctum meum in gáudium mihi: conscidísti saccum meum, et circumdedísti me lætítia: Ut cantet tibi glória mea, et non compúngar: Dómine, Deus meus, in ætérnum confitébor tibi.|予榮頌主，將不刺予心。主予天主，予永世讃美爾。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
