psalmtitle|Ps 3. Domine, quid multiplicati|圣咏三|
dropcap|Dómine, quid multiplicáti sunt qui tríbulant me? multi insúrgunt advérsum me.|主何阨我者愈多，而多衆起敵我乎。|
verse|Multi dicunt ánimæ meæ: Non est salus ipsi in Deo ejus.|多衆語吾靈曰：無何祐於彼天主。|
verse|Tu autem, Dómine, suscéptor meus es, glória mea, et exáltans caput meum.|然主為予歸，向予之榮，舉揚予首。|
verse|Voce mea ad Dóminum clamávi: et exaudívit me de monte sancto suo.|向爾已發予聲呼號主，主也自厥山俯聼我。|
verse|Ego dormívi, et soporátus sum: et exsurréxi, quia Dóminus suscépit me.|予已寝而寐而復醒，盖主接而懷之。|
verse|Non timébo míllia pópuli circumdántis me: exsúrge, Dómine, salvum me fac, Deus meus.|將不懼千多衆攻圍。|
verse|Quóniam tu percussísti omnes adversántes mihi sine causa: dentes peccatórum contrivísti.|請主起，懇予天主救。|
verse|Dómini est salus: et super pópulum tuum benedíctio tua.|屬已擊無故害我者，已碎罪人之齒。惟天主護救，恩降爾福於爾民。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|天主聖父，天主聖子，天主聖神，吾願其獲光榮，|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|厥初如何，今茲亦然，以迨永遠，及世之世。亞孟。|
