psalmtitle|Ps 32. Exultate justi|圣咏第32首|
dropcap|Exsultáte, justi, in Dómino: rectos decet collaudátio.|義人宜皆湧躍，直者宜讚美。|
verse|Confitémini Dómino in cíthara: in psaltério decem chordárum psállite illi.|稱頌主以二十四絃琴，又以十絃琴咏之。|
verse|Cantáte ei cánticum novum: bene psállite ei in vociferatióne.|向主歌新咏，高聲善頌。|
verse|Quia rectum est verbum Dómini, et ómnia ópera ejus in fide.|蓋天主言直，而厥工皆信。|
verse|Díligit misericórdiam et judícium: misericórdia Dómini plena est terra.|伊愛仁與義，遍地以主仁充之。|
verse|Verbo Dómini cæli firmáti sunt: et spíritu oris ejus omnis virtus eórum.|諸天以主言堅定，而其德噓以神氣。|
verse|Cóngregans sicut in utre aquas maris: ponens in thesáuris abýssos.|滙聚海水於皮橐，深幽於庫藏。|
verse|Tímeat Dóminum omnis terra: ab eo autem commoveántur omnes inhabitántes orbem.|寰宇畏主，凢居大地由彼搖動。|
verse|Quóniam ipse dixit, et facta sunt: ipse mandávit, et creáta sunt.|蓋已言而受造，已命而化成。|
verse|Dóminus díssipat consília géntium: réprobat autem cogitatiónes populórum, et réprobat consília príncipum.|主散異教策，駁蒼生之思及公卿謀議。|
verse|Consílium autem Dómini in ætérnum manet: cogitatiónes cordis ejus in generatióne et generatiónem.|主旨永存，厥心志世世。|
verse|Beáta gens, cujus est Dóminus, Deus ejus: pópulus, quem elégit in hereditátem sibi.|主為厥主所選之民者之嗣業，真福其民哉。|
verse|De cælo respéxit Dóminus: vidit omnes fílios hóminum.|主自天已視諸人衆子，自備宮觀。|
verse|De præparáto habitáculo suo respéxit super omnes, qui hábitant terram.|凡居於大地，伊造各心明知其諸行。|
verse|Qui finxit sigillátim corda eórum: qui intéllegit ómnia ópera eórum.|王不因多能則幸免，又巨人不因多力。|
verse|Non salvátur rex per multam virtútem: et gigas non salvábitur in multitúdine virtútis suæ.|馬獲免錯誤，倚已廣能亦將不免。|
verse|Fallax equus ad salútem: in abundántia autem virtútis suæ non salvábitur.|主目視畏伊者，及凢望厥慈。|
verse|Ecce, óculi Dómini super metuéntes eum: et in eis, qui sperant super misericórdia ejus: Ut éruat a morte ánimas eórum: et alat eos in fame. Ánima nostra sústinet Dóminum: quóniam adjútor et protéctor noster est.|救厥命於死，於饑餓養伊等。|
verse|Quia in eo lætábitur cor nostrum: et in nómine sancto ejus sperávimus.|吾靈望主，蓋伊扶吾為吾主保。|
verse|Fiat misericórdia tua, Dómine, super nos: quemádmodum sperávimus in te.|吾心將樂於伊，因厥聖名而望主。爾仁慈行於我等，如已企仰爾。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
