psalmtitle|Ps 39. Expectans expectavi|圣咏第39首|
dropcap|Exspéctans exspectávi Dóminum, et inténdit mihi.|盼望俟主已允顧我，俯聽予禱。|
verse|Et exaudívit preces meas: et edúxit me de lacu misériæ, et de luto fæcis.|盼望俟主已允顧我，俯聽予禱。|
verse|Et státuit super petram pedes meos: et diréxit gressus meos.|救脫予苦幽并於雜坭，置予足石上，指引予步。|
verse|Et immísit in os meum cánticum novum, carmen Deo nostro.|賦于我口新咏，吾天主之咏。|
verse|Vidébunt multi, et timébunt: et sperábunt in Dómino.|多衆將覩而懼，倚望主。|
verse|Beátus vir, cujus est nomen Dómini spes ejus: et non respéxit in vanitátes et insánias falsas.|主名為厥望，輕虛語與狂偽者，真福人哉。|
verse|Multa fecísti tu, Dómine, Deus meus, mirabília tua: et cogitatiónibus tuis non est qui símilis sit tibi.|主天主爾造多靈異於爾思想，無有彷彿爾。|
verse|Annuntiávi et locútus sum: multiplicáti sunt super númerum.|予已傳而言厥異，越數不欲全祭及獻儀。|
verse|Sacrifícium et oblatiónem noluísti: aures autem perfecísti mihi.|爾成全我耳，為罪全祭爾不欲。|
verse|Holocáustum et pro peccáto non postulásti: tunc dixi: Ecce, vénio.|予乃曰：我即來，篇首它書。|
verse|In cápite libri scriptum est de me ut fácerem voluntátem tuam: Deus meus, vólui, et legem tuam in médio cordis mei.|我依爾旨吾天主，我它遵爾詔令在予心。|
verse|Annuntiávi justítiam tuam in ecclésia magna, ecce, lábia mea non prohibébo: Dómine, tu scisti.|予已傳爾義於大聖會，予無禁我唇主已知。|
verse|Justítiam tuam non abscóndi in corde meo: veritátem tuam et salutáre tuum dixi.|不隱於予心爾仁與義，於大會主勿遠仁慈。|
verse|Non abscóndi misericórdiam tuam et veritátem tuam a concílio multo.|不隱於予心爾仁與義，於大會主勿遠仁慈。|
verse|Tu autem, Dómine, ne longe fácias miseratiónes tuas a me: misericórdia tua et véritas tua semper suscepérunt me.|於我爾仁慈及爾真實，常已接我。|
verse|Quóniam circumdedérunt me mala, quorum non est númerus: comprehendérunt me iniquitátes meæ, et non pótui ut vidérem.|蓋逆境無數圍我，予不義獲我而不克見。|
verse|Multiplicátæ sunt super capíllos cápitis mei: et cor meum derelíquit me.|比予首之髮加多，而予心遺我。|
verse|Compláceat tibi, Dómine, ut éruas me: Dómine, ad adjuvándum me réspice.|主允救脫我，主盼祐我。|
verse|Confundántur et revereántur simul, qui quærunt ánimam meam, ut áuferant eam.|凡營殄我命者，乞令彼愧而駭。|
verse|Convertántur retrórsum, et revereántur, qui volunt mihi mala.|凡願我罹凶者，乞令彼卻及彼赧。|
verse|Ferant conféstim confusiónem suam, qui dicunt mihi: Euge, euge.|凡欣相告語嘻哉嘻哉，令彼即赧。|
verse|Exsúltent et læténtur super te omnes quæréntes te: et dicant semper: Magnificétur Dóminus: qui díligunt salutáre tuum.|凡覓主者興悅樂而恆頌，凡愛爾救世者稱揚主之盛大。|
verse|Ego autem mendícus sum, et pauper: Dóminus sollícitus est mei.|我乃貧者窮者，主顧諟我。|
verse|Adjútor meus, et protéctor meus tu es: Deus meus, ne tardáveris.|主為祐我救我者，主求勿延緩。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
