psalmtitle|Ps 4. Cum invocarem|圣咏第4首|
dropcap|Cum invocárem exaudívit me Deus justítiæ meæ: in tribulatióne dilatásti mihi.|籲號時吾義德之天主即俯聽我，困中寬慰我。|
verse|Miserére mei, et exáudi oratiónem meam.|矜憐我而允我禱。|
verse|Fílii hóminum, úsquequo gravi corde? ut quid dilígitis vanitátem, et quǽritis mendácium? Et scitóte quóniam mirificávit Dóminus sanctum suum: Dóminus exáudiet me cum clamávero ad eum.|衆子爾等此何時猶心寐？何乃愛虛而覓偽乎？應知主非常丕顯厥聖，予呼號主，主既俯聽我。|
verse|Irascímini, et nolíte peccáre: ‡ quæ dícitis in córdibus vestris, in cubílibus vestris compungímini.|汝輩何能絕怒？然勿因怒致罪於爾心。|
verse|Sacrificáte sacrifícium justítiæ, et speráte in Dómino.|默有言爾獨寤，宜切悔獻義德之祭，而怙天主。|
verse|Multi dicunt: Quis osténdit nobis bona? Signátum est super nos lumen vultus tui, Dómine: dedísti lætítiam in corde meo.|衆曰：疇示吾美好乎？主聖容之光已銘於我等，與吾心歡樂。|
verse|A fructu fruménti, vini, et ólei sui multiplicáti sunt.|因麥酒油之用糧，生彼多衆。|
verse|In pace in idípsum dórmiam, et requiéscam; Quóniam tu, Dómine, singuláriter in spe constituísti me.|而我願平和乃心息，盖主安置予於望德之所祈。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
