psalmtitle|Ps 40. Beatus qui intelligit|圣咏第40首|
dropcap|Beátus qui intéllegit super egénum, et páuperem: in die mala liberábit eum Dóminus.|締思貧與窮乃真福，凶日主將救伊。|
verse|Dóminus consérvet eum, et vivíficet eum, et beátum fáciat eum in terra: et non tradat eum in ánimam inimicórum ejus.|望主存伊活伊，而在世與之福。|
verse|Dóminus opem ferat illi super lectum dolóris ejus: univérsum stratum ejus versásti in infirmitáte ejus.|不使付伊命，落厥仇之手。|
verse|Ego dixi: Dómine, miserére mei: sana ánimam meam, quia peccávi tibi.|居痛榻主護祐伊，病時復易厥全榻。|
verse|Inimíci mei dixérunt mala mihi: Quando moriétur, et períbit nomen ejus? Et si ingrediebátur ut vidéret, vana loquebátur: cor ejus congregávit iniquitátem sibi.|予曰：主憫憐療我靈，蓋得罪于爾。|
verse|Egrediebátur foras, et loquebátur in idípsum.|予讐說予惡行，何時而厥名泯沒？若進以視枉言，不義聚於厥心，出外言如此。|
verse|Advérsum me susurrábant omnes inimíci mei: advérsum me cogitábant mala mihi.|予諸仇訕誹予，籌思害予。|
verse|Verbum iníquum constituérunt advérsum me: Numquid qui dormit non adíciet ut resúrgat? Étenim homo pacis meæ, in quo sperávi: qui edébat panes meos, magnificávit super me supplantatiónem.|定惡語害我，眠者不復興乎？與我所望和合之人，偕予嗜灸絆予足矣。|
verse|Tu autem, Dómine, miserére mei, et resúscita me: et retríbuam eis.|主矜憐我復活我，而予報伊等。|
verse|In hoc cognóvi quóniam voluísti me: quóniam non gaudébit inimícus meus super me.|於此已知主愛我，蓋我仇將不悅予事。|
verse|Me autem propter innocéntiam suscepísti: et confirmásti me in conspéctu tuo in ætérnum.|因予無辜主接我，主台前永堅定我。|
verse|Benedíctus Dóminus, Deus Israël, a sǽculo et usque in sǽculum: fiat, fiat.|稱頌主義撒厄爾天主，於無窮世世。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
