psalmtitle|Ps 41. Quemadmodum|圣咏第41首|
dropcap|Quemádmodum desíderat cervus ad fontes aquárum: ita desíderat ánima mea ad te, Deus.|天主予慕爾，如麋鹿希于泉。|
verse|Sitívit ánima mea ad Deum fortem vivum: quando véniam, et apparébo ante fáciem Dei? Fuérunt mihi lácrimæ meæ panes die ac nocte: dum dícitur mihi cotídie: Ubi est Deus tuus? Hæc recordátus sum, et effúdi in me ánimam meam: quóniam transíbo in locum tabernáculi admirábilis, usque ad domum Dei.|予靈渴惟勇惟活天主，何時至見天主䑓前？凢語予爾天主何在，泣涕朝夕可抵吾餅。|
verse|In voce exsultatiónis, et confessiónis: sonus epulántis.|憶予靈如斯舒暢，盖將行走天主異宫，而入室於踴躍讃美之聲，宴會之音。|
verse|Quare tristis es, ánima mea? et quare contúrbas me? Spera in Deo, quóniam adhuc confitébor illi: salutáre vultus mei, et Deus meus.|予靈奚為憂欝而昏擾我？請望天主，予將尚讃美伊，我面之睟然我天主。|
verse|Ad meípsum ánima mea conturbáta est: proptérea memor ero tui de terra Jordánis, et Hermóniim a monte módico.|予靈不寧，故將憶爾，自若而當地及厄爾摩小山。|
verse|Abýssus abýssum ínvocat, in voce cataractárum tuárum. Ómnia excélsa tua, et fluctus tui super me transiérunt.|以淵召淵，因爾相觸之響。|
verse|In die mandávit Dóminus misericórdiam suam: et nocte cánticum ejus.|爾諸浪之高峻，已經我上主。|
verse|Apud me orátio Deo vitæ meæ, dicam Deo: Suscéptor meus es.|朝發仁慈，夕為稱頌。|
verse|Quare oblítus es mei? et quare contristátus incédo, dum afflígit me inimícus? Dum confringúntur ossa mea, exprobravérunt mihi qui tríbulant me inimíci mei.|祈禱予生命天主。|
verse|Dum dicunt mihi per síngulos dies: Ubi est Deus tuus? quare tristis es, ánima mea? et quare contúrbas me? Spera in Deo, quóniam adhuc confitébor illi: salutáre vultus mei, et Deus meus.|向天主曰：爾乃予歸，奚忘我讐？人窘我，我又奚為憂？行子骸破碎之際，予讐譏我，日語予爾天主曷在。吾靈奚為憂欝而昏擾我？請望天主，予將尚讃羙伊，我面之睟然我天主。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
