psalmtitle|Ps 44. Eructavit cor meum|圣咏第44首|
dropcap|Eructávit cor meum verbum bonum: dico ego ópera mea Regi.|予心已噯嘉言，以予攸製語王。|
verse|Lingua mea cálamus scribæ: velóciter scribéntis.|予舌如揮毫，人子中惟爾純美。|
verse|Speciósus forma præ fíliis hóminum, diffúsa est grátia in lábiis tuis: proptérea benedíxit te Deus in ætérnum.|諸美備於爾唇，故天主降福永世。|
verse|Accíngere gládio tuo super femur tuum, potentíssime.|大能者請繫爾刀，繫爾腰上。|
verse|Spécie tua et pulchritúdine tua: inténde, próspere procéde, et regna.|因爾令儀令容，祈盼視降福行且王。|
verse|Propter veritátem, et mansuetúdinem, et justítiam: et dedúcet te mirabíliter déxtera tua.|因真實及良善及義者，爾右手引爾於奇異。|
verse|Sagíttæ tuæ acútæ, pópuli sub te cadent: in corda inimicórum Regis.|爾箭鋒利，入於王仇之心。|
verse|Sedes tua, Deus, in sǽculum sǽculi: virga directiónis virga regni tui.|萬民手下僵仆。|
verse|Dilexísti justítiam, et odísti iniquitátem: proptérea unxit te Deus, Deus tuus, óleo lætítiæ præ consórtibus tuis.|天主寶座無窮世，爾國柄權真且直。|
verse|Myrrha, et gutta, et cásia a vestiméntis tuis, a dómibus ebúrneis: ex quibus delectavérunt te fíliæ regum in honóre tuo. Ástitit regína a dextris tuis in vestítu deauráto: circúmdata varietáte.|爾已嗜義而嫉惡。故天主爾天主，在儔侶中以福樂聖油擦爾。|
verse|Audi fília, et vide, et inclína aurem tuam: et oblivíscere pópulum tuum et domum patris tui.|彌辣及烏答及加細亞，由其袍服並由象牙宮殿。|
verse|Et concupíscet Rex decórem tuum: quóniam ipse est Dóminus Deus tuus, et adorábunt eum.|諸王多女悅慕欽崇爾，母后五彩金衣侍於右。|
verse|Et fíliæ Tyri in munéribus vultum tuum deprecabúntur: omnes dívites plebis.|吾女宜視宜聼且傾其耳，而忘乃民與乃父之家。|
verse|Omnis glória ejus fíliæ Regis ab intus, in fímbriis áureis circumamícta varietátibus.|王即愛厥儀容，厥是爾主天主，伊等將拜伏之。|
verse|Adducéntur Regi vírgines post eam: próximæ ejus afferéntur tibi.|第樂多女子獻義，萬民諸富者欲欽崇王。|
verse|Afferéntur in lætítia et exsultatióne: adducéntur in templum Regis.|女子之榮華在於內，金索其衣周圍五彩。|
verse|Pro pátribus tuis nati sunt tibi fílii: constítues eos príncipes super omnem terram.|隨行衆童女將引進之，其次者亦引至之。|
verse|Mémores erunt nóminis tui: in omni generatióne et generatiónem.|將引至王，踴躍引至王台前。|
verse|Proptérea pópuli confitebúntur tibi in ætérnum: et in sǽculum sǽculi.|代厥祖已生多子，當置彼衆為遍地鉅公。憶爾名無窮世，多衆讚美於無窮。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
