psalmtitle|Ps 45. Deus noster refugium|圣咏第45首|
dropcap|Deus noster refúgium, et virtus: adjútor in tribulatiónibus, quæ invenérunt nos nimis.|天主吾干城即吾之德能，為諸窘逆之扶祐。|
verse|Proptérea non timébimus dum turbábitur terra: et transferéntur montes in cor maris.|故大地變紊而諸岳徙於海中，我等可無懼。|
verse|Sonuérunt, et turbátæ sunt aquæ eórum: conturbáti sunt montes in fortitúdine ejus.|諸岳鳴矣而衆水震矣。|
verse|Flúminis ímpetus lætíficat civitátem Dei: sanctificávit tabernáculum suum Altíssimus.|因厥勇衆山搖動。|
verse|Deus in médio ejus, non commovébitur: adjuvábit eam Deus mane dilúculo.|江河湧流悅樂天主城，至高者已祝聖於厥宇。|
verse|Conturbátæ sunt gentes, et inclináta sunt regna: dedit vocem suam, mota est terra.|天主居彼中伊即伏，嚮晨微明時天主將扶祐伊。|
verse|Dóminus virtútum nobíscum: suscéptor noster Deus Jacob.|異教者不寕而諸國俯首，已發厥聲地即動。|
verse|Veníte, et vidéte ópera Dómini, quæ pósuit prodígia super terram: áuferens bella usque ad finem terræ.|德能之主與我等偕，雅歌伯天主接懷吾等。|
verse|Arcum cónteret, et confrínget arma: et scuta combúret igni.|請就而觀主工，行奇事於坤輿。|
verse|Vacáte, et vidéte quóniam ego sum Deus: exaltábor in géntibus, et exaltábor in terra.|平戰爭至地末境，將折弓矢銷噐械焚毀諸牌。|
verse|Dóminus virtútum nobíscum: suscéptor noster Deus Jacob.|爾衆靜息而觀之。予即是天主，予將於異教之中舉揚遍地，亦見舉揚德能之主與我等偕，雅歌伯天主即是吾歸。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
