psalmtitle|Ps 46. Deus est nobis refugium et virtus|圣咏第46首|
dropcap|Omnes gentes, pláudite mánibus: jubiláte Deo in voce exsultatiónis.|諸異教者宜鼓掌，向天主舞蹈，發歡樂之音。|
verse|Quóniam Dóminus excélsus, terríbilis: Rex magnus super omnem terram.|巍哉赫哉，全宇大君哉。|
verse|Subjécit pópulos nobis: et gentes sub pédibus nostris.|統均多種人民，反使異教者居足下。|
verse|Elégit nobis hereditátem suam: spéciem Jacob, quam diléxit.|選吾嗣厥業，視攸愛者雅麗矣。|
verse|Ascéndit Deus in júbilo: et Dóminus in voce tubæ.|天主躍然，因吹號上升。|
verse|Psállite Deo nostro, psállite: psállite Regi nostro, psállite.|向天主歌頌再歌頌，向吾主歌頌又歌頌。|
verse|Quóniam Rex omnis terræ Deus: psállite sapiénter.|盖天主為全宇之王，明彰歌頌。|
verse|Regnábit Deus super gentes: Deus sedet super sedem sanctam suam.|天主將王諸異教者，天主坐於厥聖座。|
verse|Príncipes populórum congregáti sunt cum Deo Ábraham: quóniam dii fortes terræ veheménter eleváti sunt.|衆類長帥合並服於亞罷郎之天主，盖諸勇毅世王奮起在位。欽頌榮福於罷德肋（及無窮世亞孟）及無窮世。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
