psalmtitle|Ps 47. Magnus Dominus|圣咏第47首|
dropcap|Magnus Dóminus, et laudábilis nimis in civitáte Dei nostri, in monte sancto ejus.|主溥哉，至當頌於吾天主城內，於厥聖山。|
verse|Fundátur exsultatióne univérsæ terræ mons Sion, látera Aquilónis, cívitas Regis magni.|置基西婉山，遍地忻愉，北及左右皆大王之城。|
verse|Deus in dómibus ejus cognoscétur: cum suscípiet eam.|天主收錄堅城時，即認識於城中之諸殿宇。|
verse|Quóniam ecce reges terræ congregáti sunt: convenérunt in unum.|伊等主會齊觀視，異駭不寧，遍地驚怖。|
verse|Ipsi vidéntes sic admiráti sunt, conturbáti sunt, commóti sunt: tremor apprehéndit eos.|痗痃痛悸，如娩乳然。|
verse|Ibi dolóres ut parturiéntis: in spíritu veheménti cónteres naves Tharsis.|使風大作，將破達斯衆舟。|
verse|Sicut audívimus, sic vídimus in civitáte Dómini virtútum, in civitáte Dei nostri: Deus fundávit eam in ætérnum.|昔攸聞斯目擊，於德能天主城，於吾天主城。|
verse|Suscépimus, Deus, misericórdiam tuam, in médio templi tui.|天主創基彼城於無窮世。|
verse|Secúndum nomen tuum, Deus, sic et laus tua in fines terræ: justítia plena est déxtera tua.|主吾衆已接王慈於主殿中。|
verse|Lætétur mons Sion, et exsúltent fíliæ Judæ: propter judícia tua, Dómine.|天主如主名，即實頌揚主於遍地諸境，主掌滿布公義。|
verse|Circúmdate Sion, et complectímini eam: narráte in túrribus ejus.|主因厥攸判，西婉山宜慶慰，而孺達諸女子躍然。|
verse|Pónite corda vestra in virtúte ejus: et distribúite domos ejus, ut enarrétis in progénie áltera.|請周圍西婉，而四方環繞於厥樓。|
verse|Quóniam hic est Deus, Deus noster in ætérnum et in sǽculum sǽculi: ipse reget nos in sǽcula.|稱述殫思締於厥德能，人每分列厥樓，使可述於後世。盖斯即是天主，吾天主於無窮世，斯即御我等無窮世。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
