psalmtitle|Ps 50. Miserere mei, Deus|圣咏第50首|
dropcap|Miserére mei, Deus, secúndum magnam misericórdiam tuam.|天主因大仁慈矜憐我，又因主哀矜甚衆銷我逆行。|
verse|Et secúndum multitúdinem miseratiónum tuárum, dele iniquitátem meam. Ámplius lava me ab iniquitáte mea: et a peccáto meo munda me.|再求多洗予逆行，而潔清其罪名。|
verse|Quóniam iniquitátem meam ego cognósco: et peccátum meum contra me est semper.|今日認吾罪逆，而吾罪永為我敵。|
verse|Tibi soli peccávi, et malum coram te feci: ut justificéris in sermónibus tuis, et vincas cum judicáris.|予得罪惟獨一主台前顯行我惡。|
verse|Ecce enim, in iniquitátibus concéptus sum: et in peccátis concépit me mater mea.|將使主訓羣稱有義，而判時無不服者。|
verse|Ecce enim, veritátem dilexísti: incérta et occúlta sapiéntiæ tuæ manifestásti mihi.|蓋予自胎有罪，而予每連罪孕之。|
verse|Aspérges me hyssópo, et mundábor: lavábis me, et super nivem dealbábor.|且主素愛真實，嘗以爾知之中將來隱密之事啟示予。|
verse|Audítui meo dabis gáudium et lætítiam: et exsultábunt ossa humiliáta.|主將酒我以伊朔波而我自潔，將洗我而我自自白於雪。|
verse|Avérte fáciem tuam a peccátis meis: et omnes iniquitátes meas dele.|主將快所聞而骸骨被屈，今舒踴躍。|
verse|Cor mundum crea in me, Deus: et spíritum rectum ínnova in viscéribus meis.|懇主勿面臨而正視予諸罪，祈銷我諸逆行。|
verse|Ne proícias me a fácie tua: et spíritum sanctum tuum ne áuferas a me.|天主重化我心，潔清而重化誠直之神於吾五內。|
verse|Redde mihi lætítiam salutáris tui: et spíritu principáli confírma me.|勿加麾棄而離爾顏，且勿奪爾神於我。|
verse|Docébo iníquos vias tuas: et ímpii ad te converténtur.|復啟將予救世之樂，而以尊主之神固守我。|
verse|Líbera me de sanguínibus, Deus, Deus salútis meæ: et exsultábit lingua mea justítiam tuam.|予將誨不義者以爾道，而行惡者將歸爾。|
verse|Dómine, lábia mea apéries: et os meum annuntiábit laudem tuam.|天主救我之天主，救我於流血之罪，予舌將顯爾義。|
verse|Quóniam si voluísses sacrifícium, dedíssem útique: holocáustis non delectáberis.|主開予口，予口將揚爾讚美。|
verse|Sacrifícium Deo spíritus contribulátus: cor contrítum, et humiliátum, Deus, non despícies.|主若欲犧牲予即獻之，全祭爾不欲。|
verse|Benígne fac, Dómine, in bona voluntáte tua Sion: ut ædificéntur muri Jerúsalem.|天主之祭即痛悔之神，痛悔謙遜之心主不棄。|
verse|Tunc acceptábis sacrifícium justítiæ, oblatiónes, et holocáusta: tunc impónent super altáre tuum vítulos.|主仁慈於西婉，建日路撒稜之城。爾時將受義祭，獻禮全祭，爾時將獻牛於爾台前。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
