psalmtitle|Ps 6. Domine, ne in furore|圣咏第6首|
dropcap|Dómine, ne in furóre tuo árguas me, neque in ira tua corrípias me.|主勿震怒時訐責我，復嗔恨發懲斥我。|
verse|Miserére mei, Dómine, quóniam infírmus sum: sana me, Dómine, quóniam conturbáta sunt ossa mea.|主矜憐我，蓋予虛弱。|
verse|Et ánima mea turbáta est valde: sed tu, Dómine, úsquequo? Convértere, Dómine, et éripe ánimam meam: salvum me fac propter misericórdiam tuam.|主療我，予諸骨不寧，予靈紛甚。|
verse|Quóniam non est in morte qui memor sit tui: in inférno autem quis confitébitur tibi? Laborávi in gémitu meo, lavábo per síngulas noctes lectum meum: lácrimis meis stratum meum rigábo.|主何時？主回視救予靈，因爾仁慈拯我。|
verse|Turbátus est a furóre óculus meus: inveterávi inter omnes inimícos meos.|蓋已死無有記主，在獄中疇讚美主乎？涕泣倦矣，每夕將洗予燕息，灌予寢榻。|
verse|Discédite a me, omnes, qui operámini iniquitátem: quóniam exaudívit Dóminus vocem fletus mei.|因嗔怒予目昬動，在仇敵視我如老朽。|
verse|Exaudívit Dóminus deprecatiónem meam, Dóminus oratiónem meam suscépit.|凡行不義者遠離于我，蓋主俯聽我淚號。|
verse|Erubéscant, et conturbéntur veheménter omnes inimíci mei: convertántur et erubéscant valde velóciter.|主已俯聽予祈禱，主已允予求。迄令予諸仇迅速羞赧。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
