psalmtitle|Ps 62. Deus, Deus meus|圣咏第62首|
dropcap|Deus, Deus meus, ad te de luce vígilo.|天主吾天主，予晨寤向主臺前。|
verse|Sitívit in te ánima mea, quam multiplíciter tibi caro mea.|予神渴慕主，舉躬望主屢屢哉。|
verse|In terra desérta, et ínvia, et inaquósa: ‡ sic in sancto appárui tibi, ut vidérem virtútem tuam, et glóriam tuam.|於野地無人迹無水澤，予現主前如於聖殿然，以覩厥德義與榮福。|
verse|Quóniam mélior est misericórdia tua super vitas: lábia mea laudábunt te.|盖主寵慈更超於諸生命之美，吾口將讚頌主。於是生時讚頌主，而因主名舉揚予手。|
verse|Sic benedícam te in vita mea: et in nómine tuo levábo manus meas.|予靈如膏脂充滿，以口躍然讚頌。|
verse|Sicut ádipe et pinguédine repleátur ánima mea: et lábiis exsultatiónis laudábit os meum.|寢則記憶主，晨寤而默想主。|
verse|Si memor fui tui super stratum meum, in matutínis meditábor in te: quia fuísti adjútor meus.|盖主寵祐及之，予在翼下當欣躍，而靈密邇隨主。主右手接之，彼輩徒然謀害予。|
verse|Et in velaménto alárum tuárum exsultábo, adhǽsit ánima mea post te: me suscépit déxtera tua.|將入地心，付於刀劍之手，為狐狸之一分。|
verse|Ipsi vero in vanum quæsiérunt ánimam meam, introíbunt in inferióra terræ: tradéntur in manus gládii, partes vúlpium erunt.|王將享樂於天主。|
verse|Rex vero lætábitur in Deo, laudabúntur omnes qui jurant in eo: quia obstrúctum est os loquéntium iníqua.|凡稱天主名矢向彼者，應被褒許。盖言不義者之口塞矣。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
