psalmtitle|Ps 63. Deus, Deus meus es tu, ad te de luce vigilo|圣咏第63首|
dropcap|Exáudi, Deus, oratiónem meam cum déprecor: a timóre inimíci éripe ánimam meam.|天主予祈際，俯聼我禱，救予靈勿懼仇人。|
verse|Protexísti me a convéntu malignántium: a multitúdine operántium iniquitátem.|天主予祈際，俯聼我禱，救予靈勿懼仇人。|
verse|Quia exacuérunt ut gládium linguas suas: intendérunt arcum rem amáram, ut sagíttent in occúltis immaculátum.|爾已護予於惡人之叢，於衆行惡者。|
verse|Súbito sagittábunt eum, et non timébunt: firmavérunt sibi sermónem nequam.|盖礪舌如刀，彎弓毒苦，欲暗射其無辜。|
verse|Narravérunt ut abscónderent láqueos: dixérunt: Quis vidébit eos? Scrutáti sunt iniquitátes: defecérunt scrutántes scrutínio.|將即發矢而無忌，惡議已定，議隱其計，曰誰能識之？商確惡事，商確終無濟也。|
verse|Accédet homo ad cor altum: et exaltábitur Deus.|人心向上，天主自將舉厥傷。|
verse|Sagíttæ parvulórum factæ sunt plagæ eórum: et infirmátæ sunt contra eos linguæ eórum.|如童射厥舌之傷，彼亦劣矣。|
verse|Conturbáti sunt omnes qui vidébant eos: et tímuit omnis homo.|觀伊等皆丧志，人人畏懼。|
verse|Et annuntiavérunt ópera Dei, et facta ejus intellexérunt.|已傳天主工，知悟厥行。|
verse|Lætábitur justus in Dómino, et sperábit in eo, et laudabúntur omnes recti corde.|義人忻樂於主而望之，凢心直將受譽。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
