psalmtitle|Ps 65. Te decet hymnus, Deus, in Sion|圣咏第65首|
dropcap|Jubiláte Deo, omnis terra, psalmum dícite nómini ejus: date glóriam laudi ejus.|遍地向天主踴躍，向厥民稱頌，歸榮於伊。|
verse|Dícite Deo: Quam terribília sunt ópera tua, Dómine! in multitúdine virtútis tuæ mentiéntur tibi inimíci tui.|向天主曰：主攸製嚴哉，因爾多能，仇言多誣。|
verse|Omnis terra adóret te, et psallat tibi: psalmum dicat nómini tuo.|主遍地欽崇爾稱頌爾，向爾名奉歌。|
verse|Veníte, et vidéte ópera Dei: terríbilis in consíliis super fílios hóminum.|汝等就觀主攸製，厥謀計威哉且嚴哉，超衆人子。|
verse|Qui convértit mare in áridam, in flúmine pertransíbunt pede: ibi lætábimur in ipso.|伊變海成田，躡舄將渡江，彼吾輩欣樂。|
verse|Qui dominátur in virtúte sua in ætérnum, óculi ejus super gentes respíciunt: qui exásperant non exalténtur in semetípsis.|以本德能永王，厥目異教者，内誹弗得氣揚。|
verse|Benedícite, gentes, Deum nostrum: et audítam fácite vocem laudis ejus, Qui pósuit ánimam meam ad vitam: et non dedit in commotiónem pedes meos.|異教者讃美主，聞厥頌聲。|
verse|Quóniam probásti nos, Deus: igne nos examinásti, sicut examinátur argéntum.|伊甦予靈，不揺吾履。|
verse|Induxísti nos in láqueum, posuísti tribulatiónes in dorso nostro: imposuísti hómines super cápita nostra.|天主爾已試予軰，火煉如煅金然。|
verse|Transívimus per ignem et aquam: et eduxísti nos in refrigérium.|投于湖，加重負于背。|
verse|Introíbo in domum tuam in holocáustis: reddam tibi vota mea, quæ distinxérunt lábia mea.|使人按其首，吾等經水火，爾救吾使安息。|
verse|Et locútum est os meum, in tribulatióne mea.|予奉獻全祭，將進爾宫。|
verse|Holocáusta medulláta ófferam tibi cum incénso aríetum: ófferam tibi boves cum hircis.|予唇願將償，居苦予已言。|
verse|Veníte, audíte, et narrábo, omnes, qui timétis Deum: quanta fecit ánimæ meæ.|獻爾肥腯全祭，偕山羊乳香，所獻牛及山羊。|
verse|Ad ipsum ore meo clamávi, et exaltávi sub lingua mea.|凢畏天主即聽即至，予將述予靈之賜。|
verse|Iniquitátem si aspéxi in corde meo, non exáudiet Dóminus.|呼籲之，予舌讃揚之。|
verse|Proptérea exaudívit Deus, et atténdit voci deprecatiónis meæ.|若予心不義，主咈予祈。|
verse|Benedíctus Deus, qui non amóvit oratiónem meam, et misericórdiam suam a me.|惟主俯聼，俞我攸禱之聲。讃美主，不棄予禱，錫厥仁慈。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
