psalmtitle|Ps 67. Deus misereatur nostri et benedicat nobis|圣咏第67首|
dropcap|Exsúrgat Deus, et dissipéntur inimíci ejus, et fúgiant qui odérunt eum, a fácie ejus.|望天主起，厥仇即散，惡伊者奔避厥容。|
verse|Sicut déficit fumus, defíciant: sicut fluit cera a fácie ignis, sic péreant peccatóres a fácie Dei.|如烟消乏，是伊等消乏。|
verse|Et justi epuléntur, et exsúltent in conspéctu Dei: et delecténtur in lætítia.|如蠟對火化流，罪人主前如是。義人宴㑹天主前，欣樂抃舞。|
verse|Cantáte Deo, psalmum dícite nómini ejus: iter fácite ei, qui ascéndit super occásum: (fit reverentia) Dóminus nomen illi.|向天主歌咏，讃頌厥名。|
verse|Exsultáte in conspéctu ejus: turbabúntur a fácie ejus, patris orphanórum et júdicis viduárum.|治其道自西上升，厥名即主。|
verse|Deus in loco sancto suo: Deus, qui inhabitáre facit uníus moris in domo: Qui edúcit vinctos in fortitúdine, simíliter eos qui exásperant, qui hábitant in sepúlcris.|主前踴躍，伊等厥前不寧。主惟孤子之父，婺婦之士師。|
verse|Deus, cum egrederéris in conspéctu pópuli tui, cum pertransíres in desérto: Terra mota est, étenim cæli distillavérunt a fácie Dei Sínai, a fácie Dei Israël.|主於聖座，使同室一心。|
verse|Plúviam voluntáriam segregábis, Deus, hereditáti tuæ: et infirmáta est, tu vero perfecísti eam.|毅然拯夫縲絏者，並殘害者，與寓塋墓者。天主昭行爾民衆，經曠野時，地已震動。|
verse|Animália tua habitábunt in ea: parásti in dulcédine tua páuperi, Deus.|諸天霖瀝，西納天主前，義撒厄爾天主前。|
verse|Dóminus dabit verbum evangelizántibus, virtúte multa.|天主本將選時甘霖，於爾嗣業。|
verse|Rex virtútum dilécti, dilécti: et speciéi domus divídere spólia.|其負病即療之。爾生畜將居彼，天主備貧者之飴。|
verse|Si dormiátis inter médios cleros, pennæ colúmbæ deargentátæ, et posterióra dorsi ejus in pallóre auri.|主將賦語於敷教者，多發靈異。|
verse|Dum discérnit cæléstis reges super eam, nive dealbabúntur in Selmon: mons Dei, mons pinguis.|德能至愛之王，分獲資於美宫。|
verse|Mons coagulátus, mons pinguis: ut quid suspicámini montes coagulátos? Mons, in quo beneplácitum est Deo habitáre in eo: étenim Dóminus habitábit in finem.|若在两界間，將現銀羽之鴿，黄金其眷。天主遣王於彼，將為白如雪於瑟爾摩。|
verse|Currus Dei decem míllibus múltiplex, míllia lætántium: Dóminus in eis in Sina in sancto.|天主山維膏山，凝山膏山。|
verse|Ascendísti in altum, cepísti captivitátem: accepísti dona in homínibus. Étenim non credéntes, inhabitáre Dóminum Deum.|爾等為何視凝山乎？天主悦居之山，將至終。主車一萬甚衆，娯樂維千。|
verse|Benedíctus Dóminus die cotídie: prósperum iter fáciet nobis Deus salutárium nostrórum.|主於西納，於聖宫上升，獲擄者受獻儀於人。|
verse|Deus noster, Deus salvos faciéndi: et Dómini Dómini éxitus mortis.|盖不信天主居於斯。|
verse|Verúmtamen Deus confrínget cápita inimicórum suórum: vérticem capílli perambulántium in delíctis suis.|日日讃美主，救吾等天主，賜吾等路途平和。吾天主拯救，天主能出自死中，將碎厥仇首，行惡者之髪頂。|
verse|Dixit Dóminus: Ex Basan convértam, convértam in profúndum maris: Ut intingátur pes tuus in sánguine: lingua canum tuórum ex inimícis, ab ipso.|主曰予由巴散使歸，歸於海淵。|
verse|Vidérunt ingréssus tuos, Deus: ingréssus Dei mei: regis mei qui est in sancto.|令爾足染血，仇血爾犬餂之。|
verse|Prævenérunt príncipes conjúncti psalléntibus: in médio juvenculárum tympanistriárum.|天主伊等已覩爾行，予天主行，居於聖宫。鉅公偕頌揚，預擊鼓於少女中。|
verse|In ecclésiis benedícite Deo Dómino, de fóntibus Israël.|於諸堂讃美主天主，由于義撒厄爾之泉。|
verse|Ibi Bénjamin adolescéntulus: in mentis excéssu.|彼有少龄者白尼亞，関入神時。如達鉅公厥領袖，雜布亂鉅公，溺達理鉅公。|
verse|Príncipes Juda, duces eórum: príncipes Zábulon, príncipes Néphtali.|望天主命爾德，天主堅定攸行於我等，自日路撒冷爾殿。|
verse|Manda, Deus, virtúti tuæ: confírma hoc, Deus, quod operátus es in nobis.|諸王將獻儀於爾。|
verse|A templo tuo in Jerúsalem, tibi ófferent reges múnera. Íncrepa feras arúndinis, congregátio taurórum in vaccis populórum: ut exclúdant eos, qui probáti sunt argénto.|責罰野獸居蓆中，並牝牛牡犢之群。欲除傾煉為銀者，散亡喜征戰者。|
verse|Díssipa gentes, quæ bella volunt: vénient legáti ex Ægýpto: Æthiópia prævéniet manus ejus Deo.|自厄日多將來遣使者，厄地阿被亞預先舉手向天主。|
verse|Regna terræ, cantáte Deo: psállite Dómino.|普天率土，賛揚天主，向天主頌咏。|
verse|Psállite Deo, qui ascéndit super cælum cæli, ad Oriéntem.|向天主頌咏，其升天於東。伊將使厥音，德能之聲。|
verse|Ecce dabit voci suæ vocem virtútis, date glóriam Deo super Israël, magnificéntia ejus, et virtus ejus in núbibus.|歸榮天主，於義撒厄爾厥榮，及德於雲。|
verse|Mirábilis Deus in sanctis suis, Deus Israël ipse dabit virtútem, et fortitúdinem plebi suæ, benedíctus Deus.|天主於厥聖，異哉義撒厄爾天主。使德能與勇毅於厥民，讃美天主。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
