psalmtitle|Ps 7. Domine, Deus meus|圣咏第7首|
dropcap|Dómine, Deus meus, in te sperávi: salvum me fac ex ómnibus persequéntibus me, et líbera me.|主予天主，予已望爾。|
verse|Nequándo rápiat ut leo ánimam meam, dum non est qui rédimat, neque qui salvum fáciat.|救我于衆害我者，拯我無贖無救。|
verse|Dómine, Deus meus, si feci istud, si est iníquitas in mánibus meis: Si réddidi retribuéntibus mihi mala, décidam mérito ab inimícis meis inánis.|恐獅子攫吾靈。|
verse|Persequátur inimícus ánimam meam, et comprehéndat, et concúlcet in terra vitam meam, et glóriam meam in púlverem dedúcat.|主吾天主，若行斯事，予手有不義者。|
verse|Exsúrge, Dómine, in ira tua: et exaltáre in fínibus inimicórum meórum.|若以害報害，應落于仇。|
verse|Et exsúrge, Dómine, Deus meus, in præcépto quod mandásti: et synagóga populórum circúmdabit te.|仇敵害予靈而獲予命，及踐踏予榮，歸于塵。主甚怒興起爾，舉揚於予仇之殁。|
verse|Et propter hanc in altum regrédere: Dóminus júdicat pópulos.|吾主天主請起為教令。|
verse|Júdica me, Dómine, secúndum justítiam meam, et secúndum innocéntiam meam super me.|多衆將圍爾，為此復峻上主審多衆。|
verse|Consumétur nequítia peccatórum, et díriges justum, scrutans corda et renes, Deus.|主為予義審我，及因予無辜。|
verse|Justum adjutórium meum a Dómino, qui salvos facit rectos corde.|罪人之惡亡，爾指引義者。|
verse|Deus judex justus, fortis, et pátiens: numquid iráscitur per síngulos dies? Nisi convérsi fuéritis, gládium suum vibrábit: arcum suum teténdit, et parávit illum.|測心與腰間天主，由主祐乃義。主救直心者，天主士師。|
verse|Et in eo parávit vasa mortis: sagíttas suas ardéntibus effécit.|乃義乃勇乃仁，每曰嗔怒乎？若不回搖厥劍，闗厥弓而備之。|
verse|Ecce, partúriit injustítiam: concépit dolórem, et péperit iniquitátem.|於彼備死刑械，製厥箭為揚火者。|
verse|Lacum apéruit, et effódit eum: et íncidit in fóveam quam fecit.|浼不義者懷痛，而凂惡行。|
verse|Convertétur dolor ejus in caput ejus: et in vérticem ipsíus iníquitas ejus descéndet.|開坑而掘之，落于自開之坑。|
verse|Confitébor Dómino secúndum justítiam ejus: et psallam nómini Dómini altíssimi.|厥痛返回于厥首，厥不義于厥頂。讚美主依厥義，而稱頌至峻之名。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
