psalmtitle|Ps 71. In te, Domine, speravi, non confundar in aeternum|圣咏第71首|
dropcap|Deus, judícium tuum regi da: et justítiam tuam fílio regis: Judicáre pópulum tuum in justítia, et páuperes tuos in judício.|望天主以判斷之權與王，而以主義德之用與王子。|
verse|Suscípiant montes pacem pópulo: et colles justítiam.|可使以義審判厥衆，而以公明判爾諸煢獨者。|
verse|Judicábit páuperes pópuli, et salvos fáciet fílios páuperum: et humiliábit calumniatórem.|喬岳望接和平為衆民，而培塿均接義德。|
verse|Et permanébit cum sole, et ante lunam, in generatióne et generatiónem.|將判斷庶民，衆貧拯救，貧困衆子，且抑誣妄者。|
verse|Descéndet sicut plúvia in vellus: et sicut stillicídia stillántia super terram.|偕日將而月先存於無窮世。|
verse|Oriétur in diébus ejus justítia, et abundántia pacis: donec auferátur luna.|降如雨於羢毛，又如霡霂入土。維時義德將出，及普世和平，至於月亡。|
verse|Et dominábitur a mari usque ad mare: et a flúmine usque ad términos orbis terrárum.|自海至海將王，自江河至寰宇之境界。|
verse|Coram illo prócident Æthíopes: et inimíci ejus terram lingent.|厥前厄第阿彼亞人跪伏地，而厥仇餂地。|
verse|Reges Tharsis, et ínsulæ múnera ófferent: reges Árabum et Saba dona addúcent.|達臘斯衆王及島嶼奉獻，亞辣彼亞及撒把王來獻。|
verse|Et adorábunt eum omnes reges terræ: omnes gentes sérvient ei: Quia liberábit páuperem a poténte: et páuperem, cui non erat adjútor.|遍地諸王將致敬，異教者咸役事。|
verse|Parcet páuperi et ínopi: et ánimas páuperum salvas fáciet.|盖將救貧人於強者之手，即無扶持者之貧人。|
verse|Ex usúris et iniquitáte rédimet ánimas eórum: et honorábile nomen eórum coram illo.|赦免貧困，而拯救衆貧人靈；救贖厥靈於貸利者及於不義者，其名厥前丕顯。又將活矣，將與之亞拉被亞金，欽崇之，終日讚美之。|
verse|Et vivet, et dábitur ei de auro Arábiæ, et adorábunt de ipso semper: tota die benedícent ei.|將為穩定於地山巔上，其實卓越利巴諾，而於城堡發花蕃茂如菅茅然。|
verse|Et erit firmaméntum in terra in summis móntium, superextollétur super Líbanum fructus ejus: et florébunt de civitáte sicut fænum terræ.|厥名應讚美於無窮世，厥名已存太陽先。|
verse|Sit nomen ejus benedíctum in sǽcula: ante solem pérmanet nomen ejus.|因而蒼生被福，異教者舉揚伊。|
verse|Et benedicéntur in ipso omnes tribus terræ: omnes gentes magnificábunt eum.|讚美依撒厄爾天主，獨一能行靈異者。|
verse|Benedíctus Dóminus, Deus Israël, qui facit mirabília solus: Et benedíctum nomen majestátis ejus in ætérnum: et replébitur majestáte ejus omnis terra: fiat, fiat.|並永遠讚美其威嚴之名，厥威嚴而遍地將滿。是是。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
