psalmtitle|Ps 80. Qui pascis Israel, intende|圣咏第80首|
dropcap|Exsultáte Deo, adjutóri nostro: jubiláte Deo Jacob.|汝等向祐吾者天主鼓舞，向雅歌伯天主忻愉。|
verse|Súmite psalmum, et date týmpanum: psaltérium jucúndum cum cíthara.|即取聖咏而擊鼓，歡歌並舞二十四弦琴。|
verse|Buccináte in Neoménia tuba, in insígni die solemnitátis vestræ.|朔日吹號，於汝輩大瞻禮日。|
verse|Quia præcéptum in Israël est: et judícium Deo Jacob.|盖斯即命於依撒厄爾，雅歌伯天主攸定。|
verse|Testimónium in Joseph pósuit illud, cum exíret de terra Ægýpti: linguam, quam non nóverat, audívit.|置彼為証，若瑟出厄日多時，乃聞未聞之語。免厥背於負，厥手役於筐。|
verse|Divértit ab onéribus dorsum ejus: manus ejus in cóphino serviérunt.|阨中爾呼虢我，我即允救。|
verse|In tribulatióne invocásti me, et liberávi te: exaudívi te in abscóndito tempestátis: probávi te apud aquam contradictiónis.|大風忽作，於隂暗之所俯聼爾。|
verse|Audi, pópulus meus, et contestábor te: Israël, si audíeris me, non erit in te deus recens, neque adorábis deum aliénum.|已試爾争近于水。|
verse|Ego enim sum Dóminus Deus tuus, qui edúxi te de terra Ægýpti: diláta os tuum, et implébo illud.|予民即聼確語，依撒厄爾若聼予，將弗為新主，又弗拜他主。|
verse|Et non audívit pópulus meus vocem meam: et Israël non inténdit mihi.|予即是爾主爾天主，使爾出厄曰多地。伸爾口予即滿之。|
verse|Et dimísi eos secúndum desidéria cordis eórum: ibunt in adinventiónibus suis.|予民不聼予語，依撒厄爾术信予。|
verse|Si pópulus meus audísset me: Israël si in viis meis ambulásset: Pro níhilo fórsitan inimícos eórum humiliássem: et super tribulántes eos misíssem manum meam.|予即任厥所欲，聼厥所行。|
verse|Inimíci Dómini mentíti sunt ei: et erit tempus eórum in sǽcula.|若予民聼予，依撒厄爾由予道略，何難屈厥讐乎？加難苦于伊等，予救之。|
verse|Et cibávit eos ex ádipe fruménti: et de petra, melle saturávit eos.|主讐與伊所言皆誣，厥時將無窮。以麥脂食之，由石與蜜飽之。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
