psalmtitle|Ps 83. Deus, ne quiescas, ne taceas|圣咏第83首|
dropcap|Quam dilécta tabernácula tua, Dómine virtútum: concupíscit, et déficit ánima mea in átria Dómini.|德能之主，聖宫可慕哉。|
verse|Cor meum, et caro mea exsultavérunt in Deum vivum. Étenim passer invénit sibi domum: et turtur nidum sibi, ubi ponat pullos suos.|予靈覬諭以乏於主廊，予心予體向活天主鼓舞。|
verse|Altária tua, Dómine virtútum: Rex meus, et Deus meus.|雀複自居，鳩獲厥巢以置厥子。主為諸德之䑓，予王予天主。|
verse|Beáti, qui hábitant in domo tua, Dómine: in sǽcula sæculórum laudábunt te.|凢居爾宫福哉，永世稱頌爾。|
verse|Beátus vir, cujus est auxílium abs te: ascensiónes in corde suo dispósuit, in valle lacrimárum in loco, quem pósuit. Étenim benedictiónem dabit legislátor, ibunt de virtúte in virtútem: vidébitur Deus deórum in Sion.|望爾扶祐者真福人哉，厥心排列升上於涕泣之谷，彼置之所定典刑者將降福。由德進德，諸神之天主將見於西婉。|
verse|Dómine, Deus virtútum, exáudi oratiónem meam: áuribus pércipe, Deus Jacob.|德能天主俯聼子禱，雅歌伯天主傾耳。|
verse|Protéctor noster, áspice, Deus: et réspice in fáciem Christi tui: Quia mélior est dies una in átriis tuis, super míllia.|吾保護天主垂視，視爾基利斯督容。|
verse|Elégi abjéctus esse in domo Dei mei: magis quam habitáre in tabernáculis peccatórum.|盖一曰居爾廊，不啻多千。予願鄙賤居於天主宫，不願寓罪人之室。|
verse|Quia misericórdiam, et veritátem díligit Deus: grátiam et glóriam dabit Dóminus.|盖主愛慈及真實，將賜寵與榮。|
verse|Non privábit bonis eos, qui ámbulant in innocéntia: Dómine virtútum, beátus homo, qui sperat in te.|每存善於赤心者，將不乏美好。德能之主，望爾真福人哉。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
