psalmtitle|Ps 84. Quam dilecta tabernacula tua, Domine virtutum|圣咏第84首|
dropcap|Benedixísti, Dómine, terram tuam: avertísti captivitátem Jacob.|主已降福爾地，救贖雅歌伯，赦免諸民惡行，遮蔽其諸罪愆。|
verse|Remisísti iniquitátem plebis tuæ: operuísti ómnia peccáta eórum.|平厥怒而霽其愠顏。|
verse|Mitigásti omnem iram tuam: avertísti ab ira indignatiónis tuæ.|望救吾天主，賜我回轉，而平厥怒。|
verse|Convérte nos, Deus, salutáris noster: et avérte iram tuam a nobis.|豈將永遠怒我乎？或延爾怒世世乎？天主盼視將活我等，爾民將歡慰於爾。|
verse|Numquid in ætérnum irascéris nobis? aut exténdes iram tuam a generatióne in generatiónem? Deus, tu convérsus vivificábis nos: et plebs tua lætábitur in te.|望主示我等爾慈，而與我等爾救世者。|
verse|Osténde nobis, Dómine, misericórdiam tuam: et salutáre tuum da nobis. Áudiam quid loquátur in me Dóminus Deus: quóniam loquétur pacem in plebem suam.|傾聽吾主語，何事於予？盖將語和平於庶民，及於諸聖，與實心歸正然。|
verse|Et super sanctos suos: et in eos, qui convertúntur ad cor.|救世者邇於敬畏之者，使光榮存於吾地。|
verse|Verúmtamen prope timéntes eum salutáre ipsíus: ut inhábitet glória in terra nostra.|仁慈也真實也相遇，義也和也相親。|
verse|Misericórdia, et véritas obviavérunt sibi: justítia, et pax osculátæ sunt.|真者由地出，義者自天俯顧。|
verse|Véritas de terra orta est: et justítia de cælo prospéxit. Étenim Dóminus dabit benignitátem: et terra nostra dabit fructum suum.|主將賜仁慈，而吾地將發厥實。|
verse|Justítia ante eum ambulábit: et ponet in via gressus suos.|義也將發於前，而足遂踐行之。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
