psalmtitle|Ps 85. Complacuisti tibi, Domine, in terra tua|圣咏第85首|
dropcap|Inclína, Dómine, aurem tuam, et exáudi me: quóniam inops, et pauper sum ego.|主傾耳俯聼我禱，我乃貧而煢獨者。|
verse|Custódi ánimam meam, quóniam sanctus sum: salvum fac servum tuum, Deus meus, sperántem in te.|䕶守予靈，盖予已義。吾天主，望爾者爾僕。|
verse|Miserére mei, Dómine, quóniam ad te clamávi tota die: lætífica ánimam servi tui, quóniam ad te, Dómine, ánimam meam levávi.|主矜憐我，終日呼號爾。|
verse|Quóniam tu, Dómine, suávis, et mitis: et multæ misericórdiæ ómnibus invocántibus te. Áuribus pércipe, Dómine, oratiónem meam: et inténde voci deprecatiónis meæ.|娛僕之靈，盖已舉予靈向吾主。凢呼號爾者，獲多飴多慈。|
verse|In die tribulatiónis meæ clamávi ad te: quia exaudísti me.|主俯聼我禱，專入我禱之音。|
verse|Non est símilis tui in diis, Dómine: et non est secúndum ópera tua.|予困苦呼號爾，盖已俯聼我。主衆神無可彷彿，而擬主工。|
verse|Omnes gentes quascúmque fecísti, vénient, et adorábunt coram te, Dómine: et glorificábunt nomen tuum.|主攸造衆異教者，將來伏拜主，顯揚主名。|
verse|Quóniam magnus es tu, et fáciens mirabília: tu es Deus solus.|爾乃廣大且行靈異者，獨一天主。導我爾徑，進爾真實。|
verse|Deduc me, Dómine, in via tua, et ingrédiar in veritáte tua: lætétur cor meum ut tímeat nomen tuum.|予心忻樂，得畏爾名。|
verse|Confitébor tibi, Dómine, Deus meus, in toto corde meo, et glorificábo nomen tuum in ætérnum: Quia misericórdia tua magna est super me: et eruísti ánimam meam ex inférno inferióri.|主吾天主，以全心稱頌，而永揚主名。爾慈於我至矣，救出予靈於深幽。|
verse|Deus, iníqui insurrexérunt super me, et synagóga poténtium quæsiérunt ánimam meam: et non proposuérunt te in conspéctu suo.|天主罪人起而殘我，持權者逆黨覔予靈，不置主厥前。|
verse|Et tu, Dómine, Deus miserátor et miséricors, pátiens, et multæ misericórdiæ, et verax, Réspice in me, et miserére mei, da impérium tuum púero tuo: et salvum fac fílium ancíllæ tuæ.|主仁惻容忍，多仁而真。盼視我矜憐我，賜權爾僕，拯救爾婢之子。|
verse|Fac mecum signum in bonum, ut vídeant qui odérunt me, et confundántur: quóniam tu, Dómine, adjuvísti me, et consolátus es me.|界美善於我，今憎我者見而懷慚。主已扶祐我，安慰我。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
