psalmtitle|Ps 88. Domine, Deus salutis meae, in die clamavi|圣咏第88首|
dropcap|Misericórdias Dómini in ætérnum cantábo.|予永稱頌主多仁慈，予口世世顯揚爾真實。|
verse|In generatiónem et generatiónem annuntiábo veritátem tuam in ore meo.|予永稱頌主多仁慈，予口世世顯揚爾真實。|
verse|Quóniam dixísti: In ætérnum misericórdia ædificábitur in cælis: præparábitur véritas tua in eis.|盖爾已語仁慈將成於天，爾真實建定於彼。|
verse|Dispósui testaméntum eléctis meis, jurávi David, servo meo: Usque in ætérnum præparábo semen tuum.|予排定嗣業於預錄者，已誓予僕達未德，將備爾嗣於無窮世，永世加爾座。|
verse|Et ædificábo in generatiónem et generatiónem sedem tuam.|主諸天顯揚爾諸靈異，爾真實於衆聖之會。|
verse|Confitebúntur cæli mirabília tua, Dómine: étenim veritátem tuam in ecclésia sanctórum.|在天疇伴天主？天主子中疇得彷彿乎？天主光榮於衆聖之會，弘矣嚴矣，超諸厥周之上。|
verse|Quóniam quis in núbibus æquábitur Dómino: símilis erit Deo in fíliis Dei? Deus, qui glorificátur in consílio sanctórum: magnus et terríbilis super omnes qui in circúitu ejus sunt.|德能天主疇比爾？爾乃能真實周爾。|
verse|Dómine, Deus virtútum, quis símilis tibi? potens es, Dómine, et véritas tua in circúitu tuo.|爾王海，能命息厥浪。|
verse|Tu domináris potestáti maris: motum autem flúctuum ejus tu mítigas.|爾壓傲者如被創，因爾德能之臂散亡諸仇。|
verse|Tu humiliásti sicut vulnerátum, supérbum: in brácchio virtútis tuæ dispersísti inimícos tuos.|諸天及地乃爾物，爾置基坤輿及其實。|
verse|Tui sunt cæli, et tua est terra, orbem terræ et plenitúdinem ejus tu fundásti: aquilónem, et mare tu creásti.|造北方暨海，達波爾及厄爾滿山因爾名踴躍。|
verse|Thabor et Hermon in nómine tuo exsultábunt: tuum brácchium cum poténtia.|爾德能之臂，望爾手穩定，右手舉揚。|
verse|Firmétur manus tua, et exaltétur déxtera tua: justítia et judícium præparátio sedis tuæ.|義也判也爾座之基，仁及真先導爾。|
verse|Misericórdia et véritas præcédent fáciem tuam: beátus pópulus, qui scit jubilatiónem.|前知忻愉者真福人哉。|
verse|Dómine, in lúmine vultus tui ambulábunt, et in nómine tuo exsultábunt tota die: et in justítia tua exaltabúntur.|主伊等因爾容之光將行，因爾名終日踴躍，而因爾義舉揚。|
verse|Quóniam glória virtútis eórum tu es: et in beneplácito tuo exaltábitur cornu nostrum.|主伊等因爾容之光將行，因爾名終日踴躍，而因爾義舉揚。|
verse|Quia Dómini est assúmptio nostra, et Sancti Israël, regis nostri.|盖主乃厥德之榮，因主旨吾勇峻舉。|
verse|Tunc locútus es in visióne sanctis tuis, et dixísti: Pósui adjutórium in poténte: et exaltávi eléctum de plebe mea.|吾扶祐於主，於聖依撒厄爾吾王。|
verse|Invéni David, servum meum: óleo sancto meo unxi eum.|維時主明啓諸聖曰：予扶祐於能者，於民中已舉預錄者。|
verse|Manus enim mea auxiliábitur ei: et brácchium meum confortábit eum.|已獲予僕達未德，以聖油傅伊。|
verse|Nihil profíciet inimícus in eo, et fílius iniquitátis non appónet nocére ei.|予手將扶予膊，堅伊仇讐，毫無得勝者，惡逆子毋得肆害。|
verse|Et concídam a fácie ipsíus inimícos ejus: et odiéntes eum in fugam convértam.|伊前予將戮厥仇，凡惡伊者使奔伊。|
verse|Et véritas mea, et misericórdia mea cum ipso: et in nómine meo exaltábitur cornu ejus.|予實予慈偕伊，因予名厥勇高舉。|
verse|Et ponam in mari manum ejus: et in flumínibus déxteram ejus.|予將置厥手於海，厥右手於江河。|
