psalmtitle|Ps 90. Qui habitat|圣咏第90首|
dropcap|Qui hábitat in adjutório Altíssimi, in protectióne Dei cæli commorábitur.|居上主扶祐之下，即將得天主護翼。|
verse|Dicet Dómino: Suscéptor meus es tu, et refúgium meum: Deus meus sperábo in eum.|而向主將曰：吾主接受我，主為吾庇並吾望。|
verse|Quóniam ipse liberávit me de láqueo venántium, et a verbo áspero.|盖脫我於機絞與凶惡，厥臂將護翼爾，爾在厥翼下乃慰。|
verse|Scápulis suis obumbrábit tibi: et sub pennis ejus sperábis.|望其堅實之干盾，將周衛爾。|
verse|Scuto circúmdabit te véritas ejus: non timébis a timóre noctúrno, A sagítta volánte in die, a negótio perambulánte in ténebris: ab incúrsu, et dæmónio meridiáno.|而不怖於夜驚，於晝之飛射，於暗傷之事，於午時之魔。|
verse|Cadent a látere tuo mille, et decem míllia a dextris tuis: ad te autem non appropinquábit.|在爾左一千將驚仆，而仆爾右一萬，而不得近爾。|
verse|Verúmtamen óculis tuis considerábis: et retributiónem peccatórum vidébis.|爾注視默禱，而見罪人之報。|
verse|Quóniam tu es, Dómine, spes mea: Altíssimum posuísti refúgium tuum.|因天主我等之望，帡幪我於至崇之宇。|
verse|Non accédet ad te malum: et flagéllum non appropinquábit tabernáculo tuo.|凶惡毋得近，鞭擊不及幃帳。|
verse|Quóniam Ángelis suis mandávit de te: ut custódiant te in ómnibus viis tuis.|命厥神護爾於諸途，捧持爾，使脚勿踏石上。|
verse|In mánibus portábunt te: ne forte offéndas ad lápidem pedem tuum.|爾脚將踏亞斯彼得與巴西利斯酷，而踐獅子蟒蛇。|
verse|Super áspidem, et basilíscum ambulábis: et conculcábis leónem et dracónem.|盖伊既怙予，予將救伊護伊。|
verse|Quóniam in me sperávit, liberábo eum: prótegam eum, quóniam cognóvit nomen meum.|盖已憶予名，將呼號予，予俯聽伊。|
verse|Clamábit ad me, et ego exáudiam eum: ‡ cum ipso sum in tribulatióne: erípiam eum et glorificábo eum.|苦中予與爾之偕，予將拯救伊而榮之。|
verse|Longitúdine diérum replébo eum: et osténdam illi salutáre meum.|長壽伊，而示吾救世者。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
