psalmtitle|Ps 94. Venite exultemus|圣咏第94首|
dropcap|Veníte, exsultémus Dómino: jubilémus Deo salutári nostro: Præoccupémus fáciem ejus in confessióne: et in psalmis jubilémus ei.|請向主踴躍歌呼，欣籲救世天主聖容前，預備痛告，和唱聖詠。|
verse|Quóniam Deus magnus Dóminus: et Rex magnus super omnes deos.|請向主踴躍歌呼，欣籲救世天主聖容前，預備痛告，和唱聖詠。|
verse|Quia in manu ejus sunt omnes fines terræ: et altitúdines móntium ipsíus sunt.|欽崇基利斯督為吾降誕，請欽崇。|
verse|Quóniam ipsíus est mare, et ipse fecit illud: et siccam manus ejus formavérunt.|主為惟一大主，王一切諸神，且不棄厥民。|
verse|Et nos pópulus páscuæ ejus, et oves manus ejus.|全地毬皆握厥手，而俯視崔嵬於下。|
verse|Hódie si vocem ejus audiéritis, nolíte obduráre corda vestra: Sicut in irritatióne secúndum diem tentatiónis in desérto: ubi tentavérunt me patres vestri, probavérunt me, et vidérunt ópera mea.|基利斯督為吾降誕，請欽崇。|
verse|Quadragínta annis offénsus fui generatióni illi, et dixi: Semper hi errant corde.|盖奄有大海，即其攸造者；且制創大地矣。|
verse|Et isti non cognovérunt vias meas, ut jurávi in ira mea: Si introíbunt in réquiem meam.|真吾主，請欽崇跪俯伏天主臺前，涕泣造我者我等天主，我等為其民，及其屬牧之羊。|
verse|Veníte, exsultémus Dómino: jubilémus Deo salutári nostro: Præoccupémus fáciem ejus in confessióne: et in psalmis jubilémus ei.|欽崇基利斯督為吾降誕，請欽崇。|
verse|Quóniam Deus magnus Dóminus: et Rex magnus super omnes deos.|欽崇基利斯督為吾降誕，請欽崇。|
verse|Quia in manu ejus sunt omnes fines terræ: et altitúdines móntium ipsíus sunt.|今日幸聽主言，勿愎爾心，如昔日忤命疑悔於曠野。|
verse|Quóniam ipsíus est mare, et ipse fecit illud: et siccam manus ejus formavérunt.|彼處爾祖疑試，且目擊其事。|
verse|Veníte adorémus, et procidámus: et plorémus ante Dóminum, qui fecit nos.|基利斯督為吾降誕，請欽崇。|
verse|Quia ipse est Dóminus Deus noster: Et nos pópulus páscuæ ejus, et oves manus ejus.|予邇此輩四十載，予乃曰：彼卒世錯誤，不知吾諸道。|
verse|Hódie si vocem ejus audiéritis, nolíte obduráre corda vestra: Sicut in irritatióne secúndum diem tentatiónis in desérto: ubi tentavérunt me patres vestri, probavérunt me, et vidérunt ópera mea.|予瞋怒矢志：伊等萬不得進予安旅。|
verse|Quadragínta annis offénsus fui generatióni illi, et dixi: Semper hi errant corde.|欽崇基利斯督為吾降誕，請欽崇。|
verse|Et isti non cognovérunt vias meas, ut jurávi in ira mea: Si introíbunt in réquiem meam.|基利斯督為吾降誕，請欽崇。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
