psalmtitle|Ps 96. Dominus regnavit|圣咏第96首|
dropcap|Dóminus regnávit, exsúltet terra: læténtur ínsulæ multæ.|主王矣大地欣躍，眾島嶼胥慶。|
verse|Nubes, et calígo in circúitu ejus: justítia, et judícium corréctio sedis ejus.|煙雲圍之，以義以斷正厥寶位。|
verse|Ignis ante ipsum præcédet, et inflammábit in circúitu inimícos ejus.|火也先驅，四面將焚毀諸仇。|
verse|Illuxérunt fúlgura ejus orbi terræ: vidit, et commóta est terra.|閃電炳爍宇宙，坤輿震動。|
verse|Montes, sicut cera fluxérunt a fácie Dómini: a fácie Dómini omnis terra.|主前山岳如蠟溶流，而大地亦溶流主前。|
verse|Annuntiavérunt cæli justítiam ejus: et vidérunt omnes pópuli glóriam ejus.|上天傳示厥義，而蒼生已覩厥榮。|
verse|Confundántur omnes, qui adórant sculptília: et qui gloriántur in simulácris suis.|凡奉敬土木及取榮於邪像，皆應負屈。|
verse|Adoráte eum, omnes Ángeli ejus: audívit, et lætáta est Sion.|請諸神欽崇主，西婉亦欣然。|
verse|Et exsultavérunt fíliæ Judæ, propter judícia tua, Dómine: Quóniam tu Dóminus Altíssimus super omnem terram: nimis exaltátus es super omnes deos.|主因厥判斷，孺達諸女子踴躍。|
verse|Qui dilígitis Dóminum, odíte malum: custódit Dóminus ánimas sanctórum suórum, de manu peccatóris liberábit eos.|蓋主寰宇無尚，首出諸偽尊。|
verse|Lux orta est justo, et rectis corde lætítia.|愛主者請嫉惡，主保存厥聖眾命。|
verse|Lætámini, justi, in Dómino: et confitémini memóriæ sanctificatiónis ejus.|將救伊等於罪人手，生光於義人。而悅樂於正直者，眾義者應樂於主，而常憶聖恩頌揚之。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
