psalmtitle|Ps 98. Cantate Domino canticum novum, quia mirabilia fecit|圣咏第98首|
dropcap|Dóminus regnávit, irascántur pópuli: qui sedet super Chérubim, moveátur terra.|主王矣，蒼生任忿懥，坐上知者之上，大地震動。|
verse|Dóminus in Sion magnus: et excélsus super omnes pópulos.|主於西婉鉅矣，蒼生之上高矣。|
verse|Confiteántur nómini tuo magno: quóniam terríbile, et sanctum est: et honor regis judícium díligit.|願彼讃美爾大名，盖乃赫乃聖，王榮愛義者。|
verse|Tu parásti directiónes: judícium et justítiam in Jacob tu fecísti.|主置備義憲於雅歌伯，判㫁行義。|
verse|Exaltáte Dóminum, Deum nostrum, et adoráte scabéllum pedum ejus: quóniam sanctum est.|舉揚吾主天主，欽拜所履之座，厥為聖。|
verse|Móyses et Aaron in sacerdótibus ejus: et Sámuel inter eos, qui ínvocant nomen ejus: Invocábant Dóminum, et ipse exaudiébat eos: in colúmna nubis loquebátur ad eos.|厥鐸德梅瑟暨亞鸞，呼號厥名。|
verse|Custodiébant testimónia ejus, et præcéptum quod dedit illis.|與偕撒模阨爾彼呼主，而主俯聼伊等。|
verse|Dómine, Deus noster, tu exaudiébas eos: Deus, tu propítius fuísti eis, et ulcíscens in omnes adinventiónes eórum.|語伊等於雲柱中，彼守義與命。|
verse|Exaltáte Dóminum, Deum nostrum, et adoráte in monte sancto ejus: quóniam sanctus Dóminus, Deus noster.|主吾天主，爾俯聼伊等，順伊等扶祐諸計。舉揚吾主天主，爾欽崇於厥聖山，盖吾主天主乃聖。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
